Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
list,list,1.0,1.0
list,page,0.0,0.556508481502533
list,information,0.5606060606060607,0.5496726632118225
list,category,0.4583333333333333,0.5309825539588928
list,database,0.4583333333333333,0.512382984161377
list,number,0.0,0.49291685223579407
list,item,0.5,0.48802000284194946
list,website,0.5952380952380952,0.4729726016521454
list,website,0.5952380952380952,0.4729726016521454
list,topic,0.0,0.47090762853622437
list,address,0.0,0.459861695766449
list,option,0.4444444444444444,0.44985824823379517
list,resource,0.4583333333333333,0.4481855034828186
list,request,0.0,0.448080450296402
list,write,0.6333333333333333,0.439863383769989
list,status,0.611111111111111,0.4383244812488556
list,entry,0.48333333333333334,0.4342551529407501
list,user,0.5,0.4190787971019745
list,order,0.0,0.4153136909008026
list,feature,0.46428571428571425,0.41074058413505554
list,mail,0.5,0.4086771607398987
list,rank,0.0,0.40496501326560974
list,set,0.5277777777777778,0.4046694040298462
list,news,0.5,0.40296751260757446
list,read,0.0,0.40295472741127014
list,individual,0.45,0.4025261700153351
list,book,0.0,0.4013128876686096
list,review,0.47222222222222215,0.3969004154205322
list,text,0.5,0.3948935270309448
list,source,0.47222222222222215,0.3936878442764282
list,article,0.42857142857142855,0.39332032203674316
list,place,0.48333333333333334,0.39084935188293457
list,content,0.46428571428571425,0.3895680606365204
list,major,0.0,0.38851985335350037
list,message,0.46428571428571425,0.38678884506225586
list,destination,0.5631313131313131,0.3848411738872528
list,value,0.0,0.38472551107406616
list,right,0.6333333333333333,0.38465362787246704
list,document,0.0,0.38181960582733154
list,guide,0.48333333333333334,0.38001611828804016
list,task,0.5,0.379932701587677
list,report,0.47222222222222215,0.37848907709121704
list,comment,0.0,0.3771233856678009
list,subject,0.46428571428571425,0.37332406640052795
list,box,0.0,0.3730619251728058
list,instance,0.7083333333333334,0.3720627725124359
list,price,0.48333333333333334,0.3717241883277893
list,collection,0.5666666666666667,0.37031155824661255
list,reason,0.47222222222222215,0.36775216460227966
list,time,0.5,0.36515599489212036
list,access,0.47222222222222215,0.36330580711364746
list,overview,0.0,0.36301106214523315
list,help,0.0,0.36296653747558594
list,use,0.5277777777777778,0.3626879155635834
list,product,0.0,0.36227476596832275
list,official,0.4583333333333333,0.3619786500930786
list,thing,0.48333333333333334,0.361887663602829
list,type,0.0,0.3616079092025757
list,issue,0.6333333333333333,0.3589025139808655
list,result,0.611111111111111,0.35677409172058105
list,store,0.0,0.3557429313659668
list,award,0.0,0.35289931297302246
list,publication,0.6742424242424242,0.3512958288192749
list,view,0.5,0.3492625951766968
list,account,0.0,0.34564876556396484
list,location,0.5833333333333334,0.34419581294059753
list,location,0.5833333333333334,0.34419581294059753
list,fact,0.5,0.34221118688583374
list,idea,0.5,0.34165674448013306
list,group,0.0,0.3411986529827118
list,point,0.6333333333333333,0.34110742807388306
list,country,0.46428571428571425,0.3406136929988861
list,record,0.0,0.33778294920921326
list,vote,0.5,0.3376537561416626
list,couple,0.0,0.3372013568878174
list,word,0.0,0.3360767662525177
list,script,0.6388888888888888,0.33583933115005493
list,change,0.0,0.3358137607574463
list,rest,0.6666666666666666,0.33433470129966736
list,interest,0.5833333333333334,0.33365398645401
list,home,0.0,0.33314278721809387
list,public,0.0,0.33313924074172974
list,service,0.46428571428571425,0.3315483331680298
list,purchase,0.0,0.33043548464775085
list,event,0.48333333333333334,0.32980480790138245
list,target,0.47222222222222215,0.3296332359313965
list,member,0.0,0.32949888706207275
list,class,0.6333333333333333,0.3255045413970947
list,research,0.4583333333333333,0.3235696256160736
list,think,0.48333333333333334,0.32289841771125793
list,return,0.47222222222222215,0.32242268323898315
list,end,0.0,0.3214539587497711
list,recipient,0.4537037037037037,0.32042840123176575
list,ticket,0.611111111111111,0.320210337638855
list,whole,0.0,0.31984034180641174
list,person,0.47222222222222215,0.3176034688949585
list,course,0.47222222222222215,0.3174324333667755
list,string,0.6388888888888888,0.31703314185142517
list,state,0.48333333333333334,0.3163151144981384
list,county,0.47222222222222215,0.31394731998443604
list,recipe,0.47222222222222215,0.3126744031906128
list,quantity,0.4583333333333333,0.3108849823474884
list,statement,0.5740740740740741,0.31070247292518616
list,part,0.5,0.31064578890800476
list,job,0.0,0.3106134533882141
list,author,0.47222222222222215,0.30983439087867737
list,property,0.4583333333333333,0.3084104657173157
list,biography,0.4537037037037037,0.3065779507160187
list,software,0.5833333333333334,0.30640146136283875
list,travel,0.0,0.30613577365875244
