Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
strut,axle,0.0,0.5702864527702332
strut,wheel,0.0,0.4421994388103485
strut,arm,0.5111111111111111,0.3916003108024597
strut,drag,0.48333333333333334,0.3890870213508606
strut,spring,0.5777777777777778,0.38023805618286133
strut,toe,0.5111111111111111,0.3526788055896759
strut,torso,0.6,0.3196552097797394
strut,pair,0.48333333333333334,0.28720006346702576
strut,wagon,0.0,0.2817760407924652
strut,end,0.0,0.2793636918067932
strut,shape,0.4666666666666666,0.27845653891563416
strut,portion,0.3952380952380952,0.2778235375881195
strut,head,0.0,0.2695852518081665
strut,carriage,0.44166666666666665,0.2628955841064453
strut,style,0.6,0.25924861431121826
strut,arrestor,0.5499999999999999,0.25148850679397583
strut,performance,0.43030303030303035,0.2437150925397873
strut,foot,0.48333333333333334,0.24362453818321228
strut,dress,0.4666666666666666,0.24063728749752045
strut,rest,0.48333333333333334,0.23991388082504272
strut,guard,0.4666666666666666,0.23789441585540771
strut,vehicle,0.0,0.23403498530387878
strut,street,0.8755555555555556,0.2333456128835678
strut,strength,0.8366666666666667,0.2285352647304535
strut,shift,0.6,0.22738921642303467
strut,powerplant,0.43333333333333335,0.22241628170013428
strut,right,0.4666666666666666,0.22106532752513885
strut,passenger,0.43703703703703706,0.21563144028186798
strut,component,0.0,0.21414242684841156
strut,position,0.5499999999999999,0.21395336091518402
strut,ground,0.5777777777777778,0.21384412050247192
strut,sport,0.76,0.21316102147102356
strut,piece,0.0,0.21000927686691284
strut,crowd,0.4666666666666666,0.20985378324985504
strut,line,0.0,0.20878344774246216
strut,heat,0.48333333333333334,0.2087283730506897
strut,dimension,0.0,0.20325584709644318
strut,force,0.4666666666666666,0.2020285278558731
strut,part,0.6333333333333333,0.1994892656803131
strut,appearance,0.43333333333333335,0.19162669777870178
strut,eye,0.0,0.18991979956626892
strut,manner,0.0,0.1879095435142517
strut,artery,0.41111111111111115,0.18762224912643433
strut,hardware,0.44166666666666665,0.18751053512096405
strut,queen,0.0,0.18709449470043182
strut,movement,0.44166666666666665,0.18705220520496368
strut,captive,0.44761904761904764,0.18343161046504974
strut,member,0.0,0.18324026465415955
strut,unit,0.48333333333333334,0.18268339335918427
strut,road,0.0,0.18253235518932343
strut,bag,0.0,0.18037806451320648
strut,double,0.45555555555555555,0.18000002205371857
strut,cabin,0.0,0.1766764223575592
strut,receiver,0.44166666666666665,0.1761113852262497
strut,suit,0.6333333333333333,0.17567428946495056
strut,string,0.79,0.1738440841436386
strut,feel,0.0,0.1731947958469391
strut,system,0.5777777777777778,0.1715976893901825
strut,crew,0.48333333333333334,0.17142273485660553
strut,size,0.48333333333333334,0.17069849371910095
strut,cause,0.4666666666666666,0.1691509187221527
strut,cause,0.4666666666666666,0.1691509187221527
strut,exhibit,0.44761904761904764,0.16617529094219208
strut,duty,0.48333333333333334,0.1650690883398056
strut,duty,0.48333333333333334,0.1650690883398056
strut,figure,0.41111111111111115,0.163383349776268
strut,box,0.0,0.16334111988544464
strut,point,0.4666666666666666,0.1626528799533844
strut,set,0.6888888888888888,0.16233590245246887
strut,liberty,0.5619047619047619,0.16197793185710907
strut,shop,0.48333333333333334,0.16129203140735626
strut,occupant,0.5499999999999999,0.16081880033016205
strut,troop,0.6,0.1588178426027298
strut,type,0.48333333333333334,0.15880335867404938
strut,rebel,0.0,0.15877856314182281
strut,power,0.0,0.1586056500673294
strut,black,0.0,0.15837588906288147
strut,place,0.0,0.1579797863960266
strut,dog,0.0,0.15683285892009735
strut,face,0.0,0.15637201070785522
strut,girl,0.48333333333333334,0.1557885706424713
strut,escape,0.45555555555555555,0.1554909646511078
strut,branch,0.45555555555555555,0.15330509841442108
strut,half,0.0,0.15330129861831665
strut,respect,0.565079365079365,0.15287154912948608
strut,fabric,0.45555555555555555,0.15056729316711426
strut,clothe,0.45555555555555555,0.14904452860355377
strut,whole,0.0,0.14882050454616547
strut,support,0.6761904761904761,0.14862515032291412
strut,build,0.0,0.14862260222434998
strut,feature,0.5619047619047619,0.14776520431041718
strut,brigade,0.44761904761904764,0.14725260436534882
strut,race,0.0,0.1464957892894745
strut,fraction,0.3833333333333333,0.14647571742534637
strut,thing,0.4666666666666666,0.14524495601654053
strut,material,0.5499999999999999,0.1450577974319458
strut,holder,0.0,0.14475217461585999
strut,construction,0.8055555555555557,0.14359483122825623
strut,horse,0.4666666666666666,0.1426226645708084
strut,chance,0.0,0.1388084888458252
strut,freedom,0.44761904761904764,0.13841888308525085
strut,detail,0.45555555555555555,0.1371394246816635
strut,mean,0.0,0.1360105574131012
strut,princess,0.44166666666666665,0.13500045239925385
strut,datum,0.6,0.13471946120262146
strut,guide,0.0,0.13470055162906647
strut,order,0.4666666666666666,0.1337597668170929
strut,light,0.4666666666666666,0.13372965157032013
strut,factor,0.45555555555555555,0.13351278007030487
strut,marker,0.45555555555555555,0.1329745054244995
strut,frequency,0.5407407407407407,0.1326802372932434
strut,image,0.0,0.1321861296892166
strut,change,0.0,0.13007202744483948
strut,area,0.48333333333333334,0.1299935281276703
strut,degree,0.45555555555555555,0.1284230500459671
