Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
lung,disease,0.0,0.6582523584365845
lung,artery,0.0,0.5367841124534607
lung,blood,0.48333333333333334,0.49902448058128357
lung,patient,0.0,0.4982333481311798
lung,symptom,0.0,0.47992387413978577
lung,treatment,0.0,0.47370702028274536
lung,risk,0.0,0.4636530876159668
lung,injury,0.4444444444444444,0.4458729922771454
lung,cause,0.48333333333333334,0.44537994265556335
lung,cause,0.48333333333333334,0.44537994265556335
lung,pain,0.5,0.4253193140029907
lung,hospital,0.0,0.3955172300338745
lung,smoke,0.0,0.3816241919994354
lung,death,0.0,0.38147255778312683
lung,human,0.48333333333333334,0.38136765360832214
lung,outcome,0.46428571428571425,0.37640321254730225
lung,study,0.48333333333333334,0.3722817599773407
lung,vaccine,0.0,0.37169793248176575
lung,condition,0.4537037037037037,0.3697187304496765
lung,donor,0.48333333333333334,0.34918928146362305
lung,suffer,0.47222222222222215,0.3427197337150574
lung,factor,0.0,0.3419467806816101
lung,doctor,0.0,0.3391662538051605
lung,effect,0.0,0.3376677632331848
lung,plaque,0.47222222222222215,0.3356997072696686
lung,physician,0.0,0.33332306146621704
lung,damage,0.47222222222222215,0.33324864506721497
lung,association,0.0,0.3244706392288208
lung,infant,0.47222222222222215,0.321517676115036
lung,result,0.47222222222222215,0.31791093945503235
lung,birth,0.0,0.3085983395576477
lung,loss,0.5,0.30730074644088745
lung,fraction,0.0,0.30673474073410034
lung,marker,0.0,0.2951934337615967
lung,impact,0.0,0.2929363548755646
lung,care,0.0,0.2851797044277191
lung,activity,0.0,0.28039443492889404
lung,population,0.39999999999999997,0.2800694406032562
lung,research,0.0,0.2793072462081909
lung,response,0.4583333333333333,0.27852243185043335
lung,animal,0.47222222222222215,0.27692267298698425
lung,consequence,0.44696969696969696,0.27669379115104675
lung,eradication,0.0,0.27603015303611755
lung,eye,0.0,0.2739255130290985
lung,victim,0.0,0.27367252111434937
lung,probability,0.0,0.2724955379962921
lung,trial,0.0,0.2715468406677246
lung,arrest,0.0,0.2693997323513031
lung,adulthood,0.40740740740740744,0.2690999507904053
lung,difficulty,0.0,0.26465287804603577
lung,vessel,0.0,0.2633123993873596
lung,type,0.0,0.2607283592224121
lung,torso,0.0,0.25859275460243225
lung,mother,0.0,0.25380635261535645
lung,life,0.5,0.2509472370147705
lung,role,0.0,0.25030913949012756
lung,emergency,0.4537037037037037,0.24601402878761292
lung,attack,0.0,0.24588225781917572
lung,herb,0.0,0.24533914029598236
lung,practitioner,0.0,0.2450563758611679
lung,influence,0.5833333333333334,0.24500329792499542
