Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
spaceflight,mission,0.48917748917748916,0.3787798285484314
spaceflight,mission,0.48917748917748916,0.3787798285484314
spaceflight,transportation,0.47056277056277057,0.3093417286872864
spaceflight,research,0.5598484848484849,0.28452351689338684
spaceflight,human,0.43030303030303035,0.2844599783420563
spaceflight,expedition,0.5045454545454545,0.2723066508769989
spaceflight,superpower,0.5242424242424243,0.25770649313926697
spaceflight,passenger,0.6033670033670034,0.25284647941589355
spaceflight,colonist,0.6212121212121212,0.24998082220554352
spaceflight,decade,0.47979797979797983,0.23938867449760437
spaceflight,homeland,0.43813131313131315,0.2374074012041092
spaceflight,crew,0.5606060606060607,0.23703725636005402
spaceflight,smallpox,0.537878787878788,0.22224001586437225
spaceflight,researcher,0.5181818181818182,0.22079186141490936
spaceflight,transport,0.5193602693602694,0.21733888983726501
spaceflight,independence,0.2828282828282828,0.2172468900680542
spaceflight,vehicle,0.4783549783549783,0.2128419578075409
spaceflight,funding,0.48917748917748916,0.21136029064655304
spaceflight,ship,0.5606060606060607,0.20898529887199402
spaceflight,constellation,0.5578865578865578,0.20786334574222565
spaceflight,effort,0.5050505050505051,0.20665641129016876
spaceflight,success,0.5670995670995671,0.20609818398952484
spaceflight,eradication,0.503030303030303,0.2056831270456314
spaceflight,world,0.43030303030303035,0.20317533612251282
spaceflight,acquisition,0.5757575757575758,0.2029726356267929
spaceflight,occupant,0.537878787878788,0.20230628550052643
spaceflight,veteran,0.32251082251082247,0.20146937668323517
spaceflight,vessel,0.47979797979797983,0.20127227902412415
spaceflight,activism,0.5492424242424242,0.20021729171276093
spaceflight,metallurgy,0.5045454545454545,0.1996840536594391
spaceflight,environment,0.5151515151515151,0.197832390666008
spaceflight,project,0.5616883116883117,0.19774119555950165
spaceflight,impact,0.5909090909090909,0.1976468414068222
spaceflight,continent,0.5193602693602694,0.19438040256500244
spaceflight,retiree,0.48917748917748916,0.19281400740146637
spaceflight,combatant,0.42424242424242414,0.19193671643733978
spaceflight,colony,0.5050505050505051,0.1918332278728485
spaceflight,decisionmaker,0.47377622377622375,0.1911565214395523
spaceflight,monument,0.4772727272727273,0.19041851162910461
spaceflight,anniversary,0.404040404040404,0.18812400102615356
spaceflight,commander,0.42424242424242414,0.18710771203041077
spaceflight,powerplant,0.5878787878787879,0.1861572116613388
spaceflight,war,0.47474747474747475,0.1842656284570694
spaceflight,contribution,0.5075757575757576,0.18371373414993286
spaceflight,life,0.393939393939394,0.18313755095005035
spaceflight,travel,0.5909090909090909,0.1825004369020462
spaceflight,study,0.43030303030303035,0.18249371647834778
spaceflight,intelligence,0.5656565656565656,0.1804252415895462
spaceflight,abolitionism,0.5656565656565656,0.17908082902431488
spaceflight,activity,0.6212121212121212,0.17737148702144623
spaceflight,enslavement,0.503030303030303,0.17389819025993347
spaceflight,abolition,0.5353535353535354,0.17297182977199554
spaceflight,emancipation,0.6262626262626263,0.1727478951215744
spaceflight,vaccine,0.5616883116883117,0.17244529724121094
spaceflight,emergency,0.42424242424242414,0.17003101110458374
spaceflight,plan,0.5606060606060607,0.1699555665254593
spaceflight,status,0.5050505050505051,0.16983769834041595
