Noun,Class,Jaro-Winkler_Score,Cosine_Sim_Score
lettuce,fruit,0.3952380952380952,0.4977381229400635
lettuce,herb,0.46428571428571425,0.465380996465683
lettuce,dish,0.0,0.4245834946632385
lettuce,meal,0.46428571428571425,0.4007943272590637
lettuce,recipe,0.5396825396825397,0.3730399012565613
lettuce,ground,0.4365079365079365,0.36509478092193604
lettuce,flowering,0.5026455026455027,0.36388295888900757
lettuce,food,0.0,0.3611564636230469
lettuce,dessert,0.5238095238095238,0.34783390164375305
lettuce,plant,0.5619047619047619,0.34605973958969116
lettuce,flower,0.5396825396825397,0.32537102699279785
lettuce,whole,0.44761904761904764,0.3201022148132324
lettuce,dinner,0.4365079365079365,0.31612536311149597
lettuce,spring,0.0,0.3121514618396759
lettuce,ingredient,0.49523809523809526,0.3075414299964905
lettuce,half,0.46428571428571425,0.30637088418006897
lettuce,planter,0.6190476190476191,0.28923851251602173
lettuce,cotton,0.5396825396825397,0.2836669087409973
lettuce,bag,0.0,0.2751631736755371
lettuce,drink,0.0,0.27412328124046326
lettuce,baby,0.0,0.2689457833766937
lettuce,water,0.3952380952380952,0.26367825269699097
lettuce,heat,0.5952380952380952,0.2580094039440155
lettuce,medium,0.5396825396825397,0.257937490940094
lettuce,cuisine,0.42857142857142855,0.2551724314689636
lettuce,sea,0.4920634920634921,0.25076985359191895
lettuce,restaurant,0.5761904761904763,0.24597541987895966
lettuce,tree,0.42857142857142855,0.23291698098182678
lettuce,black,0.5619047619047619,0.2232360690832138
lettuce,chef,0.46428571428571425,0.22323021292686462
lettuce,specialty,0.5026455026455027,0.21878457069396973
lettuce,smoke,0.44761904761904764,0.21709005534648895
lettuce,quantity,0.4900793650793651,0.21412169933319092
lettuce,couple,0.5396825396825397,0.2128443717956543
lettuce,rest,0.5952380952380952,0.21069858968257904
lettuce,string,0.4365079365079365,0.20679159462451935
lettuce,piece,0.6761904761904761,0.194833904504776
lettuce,fabric,0.4365079365079365,0.19244268536567688
lettuce,dress,0.44761904761904764,0.1916060447692871
lettuce,place,0.6761904761904761,0.19024692475795746
lettuce,box,0.0,0.1876746267080307
lettuce,thing,0.44761904761904764,0.18648426234722137
lettuce,ocean,0.44761904761904764,0.18607962131500244
lettuce,dog,0.0,0.1860538274049759
lettuce,acre,0.46428571428571425,0.18103326857089996
lettuce,shape,0.44761904761904764,0.17899279296398163
lettuce,think,0.44761904761904764,0.17503835260868073
lettuce,light,0.5619047619047619,0.17430149018764496
lettuce,clothe,0.6428571428571429,0.17288316786289215
lettuce,paper,0.44761904761904764,0.17227724194526672
lettuce,vaccine,0.5238095238095238,0.17045405507087708
lettuce,neighbor,0.4226190476190476,0.1696343868970871
lettuce,animal,0.0,0.1695229560136795
lettuce,native,0.5396825396825397,0.16830897331237793
lettuce,parcel,0.5396825396825397,0.16523635387420654
lettuce,store,0.5619047619047619,0.16455650329589844
lettuce,queen,0.44761904761904764,0.16379626095294952
lettuce,house,0.5619047619047619,0.16336944699287415
