Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
sell,purchase,0.0,0.7144670486450195
sell,sale,0.6666666666666666,0.673738956451416
sell,price,0.0,0.583648681640625
sell,market,0.0,0.5811377167701721
sell,money,0.0,0.5758135914802551
sell,buyer,0.0,0.5656324028968811
sell,auction,0.0,0.5635536909103394
sell,shop,0.5,0.5475724935531616
sell,seller,0.9333333333333333,0.5393375158309937
sell,store,0.48333333333333334,0.5170866847038269
sell,trade,0.0,0.4893415570259094
sell,company,0.0,0.48635047674179077
sell,order,0.0,0.4795689880847931
sell,owner,0.0,0.4617580473423004
sell,estate,0.4444444444444444,0.4601520001888275
sell,broker,0.0,0.44941824674606323
sell,investment,0.39999999999999997,0.44738316535949707
sell,supplier,0.5833333333333334,0.44549259543418884
sell,product,0.0,0.4395630955696106
sell,manufacturer,0.0,0.43139129877090454
sell,opportunity,0.0,0.43052154779434204
sell,ownership,0.4537037037037037,0.4263499975204468
sell,use,0.7222222222222222,0.422539085149765
sell,reason,0.47222222222222215,0.41998839378356934
sell,home,0.0,0.4166950583457947
sell,property,0.4583333333333333,0.41650545597076416
sell,consumer,0.4583333333333333,0.41526156663894653
sell,interest,0.4583333333333333,0.4140402674674988
sell,think,0.0,0.4130576550960541
sell,bidder,0.0,0.4119296669960022
sell,right,0.0,0.3966671824455261
sell,gift,0.0,0.3954482972621918
sell,house,0.0,0.39501672983169556
sell,equipment,0.4537037037037037,0.3932265341281891
sell,value,0.48333333333333334,0.39314359426498413
sell,help,0.6666666666666666,0.39180633425712585
sell,exchange,0.4583333333333333,0.3863970637321472
sell,contract,0.0,0.38613536953926086
sell,thing,0.0,0.38503900170326233
sell,customer,0.4583333333333333,0.38475945591926575
sell,earn,0.5,0.3843948543071747
sell,chance,0.0,0.3829476535320282
sell,idea,0.5,0.3822917640209198
sell,trader,0.0,0.38034048676490784
sell,promise,0.0,0.37974855303764343
sell,website,0.46428571428571425,0.37766891717910767
sell,website,0.46428571428571425,0.37766891717910767
sell,bank,0.0,0.37496623396873474
sell,charge,0.0,0.373292475938797
sell,build,0.48333333333333334,0.36810678243637085
sell,place,0.48333333333333334,0.3647627532482147
sell,fact,0.0,0.3644142150878906
sell,quantity,0.0,0.3639422357082367
sell,desire,0.4444444444444444,0.36337125301361084
sell,item,0.5,0.36268672347068787
sell,half,0.5,0.36003169417381287
sell,specialty,0.6944444444444443,0.358833372592926
sell,furniture,0.0,0.3557191789150238
sell,mean,0.5,0.35547372698783875
sell,fund,0.0,0.35379883646965027
sell,majority,0.0,0.35298123955726624
sell,couple,0.47222222222222215,0.3470221161842346
sell,whole,0.48333333333333334,0.34591513872146606
sell,ticket,0.0,0.34315162897109985
sell,asset,0.48333333333333334,0.34301942586898804
sell,ship,0.5,0.3335222601890564
sell,donation,0.0,0.3333417475223541
sell,portfolio,0.4537037037037037,0.33319297432899475
sell,plan,0.5,0.3311223089694977
sell,attempt,0.46428571428571425,0.3306298851966858
sell,country,0.0,0.33032092452049255
sell,mail,0.5,0.3286071717739105
sell,end,0.5277777777777778,0.3268193006515503
sell,food,0.0,0.32290807366371155
sell,world,0.48333333333333334,0.32231196761131287
sell,suit,0.5,0.32219579815864563
sell,debt,0.5,0.32198643684387207
sell,information,0.0,0.3211439251899719
sell,box,0.0,0.32075971364974976
sell,acquisition,0.0,0.3202013373374939
sell,merchant,0.4583333333333333,0.3190518021583557
sell,hardware,0.0,0.3169347941875458
sell,parcel,0.47222222222222215,0.31681856513023376
sell,option,0.0,0.3167557120323181
sell,feel,0.6666666666666666,0.31659290194511414
sell,time,0.0,0.3155762553215027
sell,possession,0.5666666666666667,0.31493520736694336
sell,write,0.0,0.3147014081478119
sell,pet,0.5277777777777778,0.3127805292606354
sell,transaction,0.44696969696969696,0.3121751546859741
sell,behalf,0.611111111111111,0.3120005428791046
sell,rest,0.5,0.30971646308898926
sell,currency,0.4583333333333333,0.30964168906211853
sell,government,0.45,0.30890002846717834
sell,set,0.7777777777777778,0.30873578786849976
sell,favor,0.0,0.3085592985153198
sell,distribution,0.4444444444444444,0.3059305250644684
sell,success,0.46428571428571425,0.30483829975128174
sell,individual,0.0,0.3040980398654938
sell,purpose,0.0,0.30390360951423645
sell,list,0.0,0.30380934476852417
sell,ability,0.46428571428571425,0.3032601773738861
sell,drink,0.0,0.30241575837135315
sell,change,0.0,0.30039283633232117
sell,permission,0.45,0.3000619113445282
sell,thousand,0.0,0.2996354103088379
sell,account,0.0,0.2988940477371216
sell,invoice,0.0,0.29737788438796997
sell,bag,0.0,0.29659411311149597
sell,piece,0.48333333333333334,0.29637929797172546
sell,person,0.47222222222222215,0.2948947250843048
sell,provider,0.0,0.29364103078842163
sell,vehicle,0.5952380952380952,0.29339897632598877
sell,service,0.5952380952380952,0.29285719990730286
sell,book,0.0,0.2925073504447937
sell,content,0.0,0.2904849946498871
sell,town,0.0,0.2869952917098999
sell,part,0.0,0.2864566445350647
sell,household,0.5740740740740741,0.28629204630851746
sell,cause,0.0,0.28612273931503296
sell,cause,0.0,0.28612273931503296
sell,basis,0.0,0.2844129502773285
sell,major,0.0,0.2844054698944092
sell,target,0.0,0.28413739800453186
sell,agent,0.48333333333333334,0.2838805913925171
sell,effort,0.47222222222222215,0.283826619386673
sell,horse,0.0,0.2836732566356659
sell,focus,0.0,0.28346699476242065
sell,collector,0.5833333333333334,0.28312939405441284
sell,street,0.611111111111111,0.28281712532043457
sell,pair,0.0,0.2814769744873047
sell,care,0.0,0.2809947729110718
sell,baby,0.0,0.28044185042381287
sell,course,0.0,0.2794559597969055
sell,year,0.5,0.27780941128730774
sell,public,0.47222222222222215,0.2770845293998718
sell,plant,0.48333333333333334,0.2764446437358856
sell,play,0.5,0.2761639952659607
sell,decision,0.4583333333333333,0.2760505974292755
sell,news,0.5,0.27570009231567383
sell,software,0.4583333333333333,0.2752572000026703
sell,condition,0.0,0.27493783831596375
sell,material,0.4583333333333333,0.2745620608329773
sell,wedding,0.46428571428571425,0.2727168798446655
sell,return,0.47222222222222215,0.2725575864315033
sell,case,0.0,0.27183330059051514
sell,wagon,0.0,0.27143171429634094
sell,dog,0.0,0.26947107911109924
sell,line,0.0,0.26900768280029297
sell,number,0.0,0.2689976692199707
sell,responsibility,0.38095238095238093,0.2685694992542267
sell,party,0.0,0.26856929063796997
sell,suffer,0.47222222222222215,0.26825588941574097
sell,job,0.0,0.26724401116371155
sell,read,0.5,0.26671990752220154
sell,fraction,0.0,0.2665320038795471
sell,attention,0.4537037037037037,0.26624420285224915
sell,day,0.0,0.2656457722187042
sell,figure,0.0,0.26335904002189636
sell,truth,0.0,0.26273342967033386
sell,office,0.0,0.26193052530288696
sell,point,0.0,0.2613971531391144
sell,artwork,0.0,0.25947678089141846
sell,knowledge,0.4537037037037037,0.2588137984275818
sell,situation,0.4537037037037037,0.25878095626831055
sell,instance,0.4583333333333333,0.258592426776886
sell,power,0.0,0.25813883543014526
sell,paper,0.0,0.2574482262134552
sell,access,0.47222222222222215,0.25682246685028076
sell,reputation,0.45,0.2565042972564697
sell,reward,0.47222222222222215,0.2564391493797302
sell,request,0.46428571428571425,0.25637272000312805
sell,realestate,0.5666666666666667,0.2558964490890503
sell,subject,0.46428571428571425,0.2558588683605194
sell,flower,0.47222222222222215,0.2549598813056946
sell,warrant,0.0,0.2545499801635742
sell,department,0.45,0.254494309425354
sell,suspect,0.46428571428571425,0.2524998188018799
sell,producer,0.0,0.2512882351875305
sell,man,0.0,0.2504132091999054
sell,fruit,0.0,0.24931718409061432
