Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
affect,impact,0.5555555555555555,0.7224153876304626
affect,effect,0.888888888888889,0.6847957968711853
affect,cause,0.5777777777777778,0.6553792953491211
affect,cause,0.5777777777777778,0.6553792953491211
affect,influence,0.611111111111111,0.6329268217086792
affect,change,0.5555555555555555,0.6267085671424866
affect,ability,0.5396825396825397,0.5863770842552185
affect,risk,0.0,0.5771534442901611
affect,result,0.5555555555555555,0.5741444826126099
affect,damage,0.5555555555555555,0.5740088224411011
affect,perception,0.6,0.5698281526565552
affect,consequence,0.3383838383838384,0.5514401197433472
affect,individual,0.0,0.5341936945915222
affect,factor,0.6944444444444443,0.5340330004692078
affect,outcome,0.4365079365079365,0.533116340637207
affect,situation,0.4259259259259259,0.5297610759735107
affect,interest,0.3611111111111111,0.5146784782409668
affect,loss,0.0,0.5048820972442627
affect,environment,0.41919191919191917,0.5024247169494629
affect,fact,0.8055555555555555,0.49654901027679443
affect,reason,0.38888888888888884,0.49435585737228394
affect,mean,0.4444444444444444,0.4938291311264038
affect,relationship,0.47222222222222215,0.49035996198654175
affect,suffer,0.6666666666666666,0.48894426226615906
affect,human,0.0,0.4887314736843109
affect,activity,0.625,0.4881305694580078
affect,focus,0.5777777777777778,0.48412376642227173
affect,disease,0.4365079365079365,0.48344236612319946
affect,attention,0.5,0.48221534490585327
affect,major,0.45555555555555555,0.47813332080841064
affect,respect,0.6428571428571429,0.46620702743530273
affect,condition,0.4259259259259259,0.46498584747314453
affect,majority,0.5277777777777778,0.46239185333251953
affect,force,0.5888888888888889,0.4615452289581299
affect,help,0.47222222222222215,0.4594026505947113
affect,context,0.373015873015873,0.45691773295402527
affect,treatment,0.5,0.45606037974357605
affect,responsibility,0.41269841269841273,0.4534483850002289
affect,basis,0.45555555555555555,0.4496726989746094
affect,life,0.611111111111111,0.44720467925071716
affect,level,0.45555555555555555,0.4440613090991974
affect,process,0.373015873015873,0.4433482885360718
affect,distribution,0.4166666666666667,0.4423981010913849
affect,order,0.45555555555555555,0.4409675598144531
affect,circumstance,0.5,0.43966636061668396
affect,symptom,0.4365079365079365,0.43869373202323914
affect,pain,0.47222222222222215,0.4362707734107971
affect,thing,0.0,0.43565768003463745
affect,employment,0.5111111111111111,0.43522241711616516
affect,decision,0.5277777777777778,0.4342310130596161
affect,component,0.5185185185185185,0.4339056611061096
affect,contribution,0.5,0.433728963136673
affect,role,0.47222222222222215,0.4333629012107849
affect,patient,0.6428571428571429,0.43195825815200806
affect,population,0.4222222222222222,0.4310995936393738
affect,energy,0.4444444444444444,0.4310629367828369
affect,subject,0.6428571428571429,0.43092453479766846
affect,use,0.5,0.43011850118637085
affect,purpose,0.0,0.42902547121047974
affect,care,0.611111111111111,0.42892006039619446
affect,probability,0.5050505050505051,0.42722246050834656
affect,state,0.5888888888888889,0.426861435174942
affect,fear,0.6388888888888888,0.4266553223133087
affect,manner,0.5555555555555555,0.42663878202438354
affect,issue,0.45555555555555555,0.4242200255393982
affect,knowledge,0.4259259259259259,0.4237351715564728
affect,society,0.5317460317460317,0.4223977327346802
affect,gender,0.4444444444444444,0.41997405886650085
affect,person,0.4444444444444444,0.4197673797607422
affect,ownership,0.4259259259259259,0.4188639521598816
affect,consumer,0.4305555555555555,0.41786113381385803
affect,public,0.4444444444444444,0.41675880551338196
affect,difficulty,0.6888888888888888,0.4161891043186188
affect,status,0.5555555555555555,0.4139295816421509
affect,target,0.6666666666666666,0.41335591673851013
affect,injury,0.0,0.4115902781486511
affect,desire,0.4444444444444444,0.40955495834350586
affect,whole,0.45555555555555555,0.4094822108745575
affect,information,0.5050505050505051,0.408346563577652
affect,instance,0.3611111111111111,0.4080108404159546
affect,shift,0.5777777777777778,0.4079229533672333
affect,feel,0.611111111111111,0.40783071517944336
affect,time,0.47222222222222215,0.4071520268917084
affect,frequency,0.611111111111111,0.40699121356010437
affect,duration,0.5277777777777778,0.40559834241867065
affect,value,0.5777777777777778,0.4054369032382965
affect,blood,0.0,0.40480557084083557
affect,belief,0.4444444444444444,0.4033876061439514
affect,think,0.0,0.4029921591281891
affect,aid,0.5,0.40298476815223694
affect,action,0.4444444444444444,0.4019884467124939
affect,point,0.45555555555555555,0.40180209279060364
affect,strength,0.5277777777777778,0.3997837007045746
affect,market,0.6666666666666666,0.397676020860672
affect,system,0.38888888888888884,0.39709511399269104
affect,intensity,0.35185185185185186,0.39695507287979126
affect,asset,0.7300000000000001,0.39504677057266235
affect,chance,0.5555555555555555,0.39178580045700073
affect,place,0.5888888888888889,0.3905271589756012
affect,investment,0.5111111111111111,0.38905084133148193
affect,shape,0.5777777777777778,0.38891443610191345
affect,study,0.0,0.3887977600097656
affect,child,0.0,0.38601258397102356
affect,response,0.4305555555555555,0.38594844937324524
