Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
calculate,probability,0.5353535353535354,0.587936282157898
calculate,quantity,0.4583333333333333,0.5319430828094482
calculate,fraction,0.4583333333333333,0.5118179321289062
calculate,value,0.6444444444444445,0.49671486020088196
calculate,coordinate,0.6148148148148148,0.42336755990982056
calculate,invoice,0.5026455026455027,0.4148646891117096
calculate,basis,0.43703703703703706,0.4138457179069519
calculate,figure,0.5185185185185185,0.41312557458877563
calculate,order,0.0,0.4007489085197449
calculate,frequency,0.48148148148148145,0.40039461851119995
calculate,change,0.611111111111111,0.39807018637657166
calculate,integer,0.41798941798941797,0.3933924436569214
calculate,result,0.5,0.39101698994636536
calculate,mean,0.4537037037037037,0.3890882134437561
calculate,input,0.5407407407407407,0.3887210786342621
calculate,number,0.4259259259259259,0.38702481985092163
calculate,duration,0.4583333333333333,0.3831633925437927
calculate,time,0.0,0.3812503516674042
calculate,asset,0.5407407407407407,0.3768444061279297
calculate,point,0.43703703703703706,0.37585923075675964
calculate,output,0.5185185185185185,0.3736507296562195
calculate,individual,0.4333333333333333,0.36870071291923523
calculate,factor,0.35185185185185186,0.36480656266212463
calculate,objective,0.5555555555555555,0.362874835729599
calculate,risk,0.0,0.36142057180404663
calculate,use,0.0,0.36043602228164673
calculate,account,0.6899470899470899,0.35673394799232483
calculate,contribution,0.4166666666666667,0.355194091796875
calculate,interest,0.32407407407407407,0.35307493805885315
calculate,conversion,0.4740740740740741,0.34730464220046997
calculate,ability,0.5873015873015873,0.3457394242286682
calculate,component,0.4444444444444444,0.34466859698295593
calculate,wage,0.4537037037037037,0.3442729115486145
calculate,distribution,0.2962962962962963,0.34177133440971375
calculate,money,0.0,0.34005796909332275
calculate,intensity,0.40740740740740744,0.33734801411628723
calculate,gpa,0.48148148148148145,0.3371557891368866
calculate,debt,0.0,0.33697977662086487
calculate,charge,0.611111111111111,0.3361887037754059
calculate,impact,0.611111111111111,0.3340911865234375
calculate,plan,0.40740740740740744,0.3328547775745392
calculate,energy,0.0,0.32957690954208374
calculate,return,0.4259259259259259,0.3295312523841858
calculate,software,0.49074074074074076,0.32714083790779114
calculate,outcome,0.4761904761904761,0.3241068124771118
calculate,object,0.5185185185185185,0.3240979015827179
calculate,instance,0.5694444444444444,0.3231758177280426
calculate,investment,0.4740740740740741,0.323036789894104
calculate,currency,0.4583333333333333,0.32250288128852844
calculate,task,0.4537037037037037,0.3195449411869049
calculate,consequence,0.42424242424242414,0.31901252269744873
calculate,drag,0.4537037037037037,0.3187638819217682
calculate,information,0.468013468013468,0.31612882018089294
calculate,tool,0.4537037037037037,0.3146747350692749
calculate,target,0.5185185185185185,0.3145499527454376
calculate,shift,0.43703703703703706,0.3141735792160034
calculate,help,0.4537037037037037,0.31225940585136414
calculate,transaction,0.5193602693602694,0.31136026978492737
calculate,pension,0.0,0.30994608998298645
calculate,dimension,0.0,0.3075645864009857
calculate,option,0.0,0.3074754476547241
calculate,price,0.43703703703703706,0.30701327323913574
calculate,purpose,0.5026455026455027,0.30614206194877625
calculate,earn,0.4537037037037037,0.3050815463066101
calculate,size,0.0,0.30268311500549316
calculate,rank,0.4537037037037037,0.2993548512458801
calculate,employer,0.49074074074074076,0.2987748682498932
calculate,fund,0.4537037037037037,0.29725316166877747
calculate,vehicle,0.4761904761904761,0.2968967854976654
calculate,unit,0.0,0.2957909107208252
calculate,shape,0.43703703703703706,0.29576224088668823
calculate,exchange,0.5694444444444444,0.29485926032066345
calculate,purchase,0.5648148148148148,0.29433295130729675
calculate,force,0.43703703703703706,0.2942732274532318
calculate,employee,0.49074074074074076,0.2934489846229553
calculate,principle,0.5555555555555555,0.29260340332984924
calculate,user,0.0,0.2918234169483185
calculate,write,0.0,0.29147928953170776
calculate,difficulty,0.6148148148148148,0.29119759798049927
calculate,level,0.5407407407407407,0.2902018129825592
calculate,position,0.41203703703703703,0.28788265585899353
calculate,bank,0.4537037037037037,0.28704017400741577
calculate,broker,0.0,0.2868179678916931
calculate,effect,0.5185185185185185,0.2829534709453583
calculate,participant,0.5193602693602694,0.2828310430049896
calculate,buyer,0.43703703703703706,0.2817714214324951
calculate,address,0.41798941798941797,0.2812088131904602
calculate,period,0.0,0.28053155541419983
calculate,attempt,0.5026455026455027,0.27948322892189026
calculate,issuer,0.4259259259259259,0.27795812487602234
calculate,representation,0.4047619047619047,0.2775232195854187
calculate,process,0.41798941798941797,0.27717676758766174
calculate,report,0.4259259259259259,0.27684831619262695
calculate,datum,0.5407407407407407,0.27523866295814514
calculate,employment,0.4333333333333333,0.27522990107536316
calculate,system,0.0,0.2744869887828827
calculate,market,0.5185185185185185,0.2744518518447876
calculate,fact,0.40740740740740744,0.2743529677391052
calculate,study,0.43703703703703706,0.27275583148002625
calculate,chance,0.7333333333333334,0.2725687325000763
calculate,set,0.0,0.27078989148139954
calculate,respect,0.5026455026455027,0.27008700370788574
calculate,population,0.5314814814814816,0.269901841878891
calculate,beneficiary,0.468013468013468,0.2695280611515045
calculate,knowledge,0.48148148148148145,0.2686799466609955
calculate,manner,0.4259259259259259,0.26840940117836
calculate,customer,0.5694444444444444,0.26820316910743713
calculate,database,0.5694444444444444,0.2667733430862427
calculate,loss,0.4537037037037037,0.2666017413139343
calculate,build,0.37407407407407406,0.26640743017196655
calculate,timezone,0.41203703703703703,0.2628338038921356
calculate,reward,0.4259259259259259,0.2623552978038788
calculate,location,0.5648148148148148,0.26175108551979065
calculate,location,0.5648148148148148,0.26175108551979065
calculate,reason,0.4259259259259259,0.2617075443267822
calculate,portion,0.0,0.2614358067512512
calculate,degree,0.4259259259259259,0.26100587844848633
calculate,spouse,0.5185185185185185,0.2603379487991333
calculate,strength,0.41203703703703703,0.25910741090774536
calculate,subject,0.4761904761904761,0.25879815220832825
calculate,field,0.43703703703703706,0.25821155309677124
calculate,property,0.41203703703703703,0.25812724232673645
calculate,circumstance,0.6666666666666666,0.2567729949951172
calculate,right,0.43703703703703706,0.2566736936569214
calculate,aid,0.48148148148148145,0.25597092509269714
calculate,conclusion,0.5314814814814816,0.25557371973991394
calculate,consumer,0.5694444444444444,0.25411510467529297
calculate,situation,0.4444444444444444,0.2539574205875397
calculate,symbol,0.4259259259259259,0.2531903088092804
calculate,parcel,0.5,0.25148555636405945
calculate,list,0.4537037037037037,0.2513033449649811
calculate,household,0.48148148148148145,0.25071778893470764
calculate,product,0.4761904761904761,0.25038397312164307
calculate,resource,0.4583333333333333,0.24932843446731567
calculate,state,0.43703703703703706,0.2485896199941635
calculate,document,0.5648148148148148,0.24855934083461761
calculate,type,0.0,0.24818529188632965
calculate,source,0.5,0.2480364292860031
calculate,patient,0.5026455026455027,0.24502058327198029
calculate,heat,0.4537037037037037,0.2423415184020996
calculate,damage,0.611111111111111,0.2422385811805725
calculate,trader,0.4259259259259259,0.24180731177330017
calculate,thousand,0.49074074074074076,0.24177446961402893
calculate,person,0.0,0.24128085374832153
calculate,idea,0.4537037037037037,0.2409934252500534
calculate,contractor,0.5314814814814816,0.23933108150959015
calculate,half,0.5740740740740741,0.23917798697948456
calculate,activity,0.4583333333333333,0.23883715271949768
calculate,entity,0.4259259259259259,0.23855604231357574
calculate,influence,0.5555555555555555,0.23749269545078278
calculate,power,0.0,0.23566292226314545
calculate,transport,0.48148148148148145,0.2346658557653427
calculate,datetime,0.5694444444444444,0.2337871640920639
calculate,datetime,0.5694444444444444,0.2337871640920639
calculate,argument,0.5648148148148148,0.23345285654067993
calculate,research,0.49074074074074076,0.2333279699087143
calculate,case,0.5740740740740741,0.2332552820444107
calculate,cause,0.6444444444444445,0.23184892535209656
calculate,cause,0.6444444444444445,0.23184892535209656
calculate,detail,0.5185185185185185,0.23177428543567657
calculate,student,0.5026455026455027,0.23171478509902954
calculate,portfolio,0.40740740740740744,0.23152002692222595
calculate,axle,0.5740740740740741,0.23059891164302826
calculate,double,0.5,0.23024572432041168
calculate,decision,0.41203703703703703,0.23006120324134827
calculate,birthdate,0.5555555555555555,0.22958414256572723
calculate,birthdate,0.5555555555555555,0.22958414256572723
calculate,opportunity,0.3013468013468013,0.22927974164485931
calculate,line,0.4537037037037037,0.22897733747959137
calculate,whole,0.43703703703703706,0.22896085679531097
calculate,funding,0.41798941798941797,0.22862949967384338
calculate,rest,0.0,0.22853189706802368
calculate,assistance,0.5314814814814816,0.2255527675151825
calculate,context,0.5026455026455027,0.22518180310726166
calculate,performance,0.468013468013468,0.2244909107685089
calculate,hour,0.4537037037037037,0.2241242229938507
calculate,provider,0.41203703703703703,0.223844975233078
calculate,item,0.0,0.22355617582798004
calculate,travel,0.5185185185185185,0.22343872487545013
calculate,think,0.0,0.22201158106327057
calculate,viewpoint,0.40740740740740744,0.22075910866260529
calculate,wheel,0.43703703703703706,0.2206474393606186
calculate,estate,0.611111111111111,0.22056639194488525
calculate,hardware,0.5694444444444444,0.2201182097196579
calculate,condition,0.48148148148148145,0.21959234774112701
calculate,effort,0.4259259259259259,0.2194993793964386
calculate,retiree,0.41798941798941797,0.2185114622116089
calculate,equipment,0.4444444444444444,0.2183377891778946
calculate,transportation,0.4047619047619047,0.21751806139945984
calculate,recipient,0.4444444444444444,0.21706657111644745
calculate,course,0.611111111111111,0.21669666469097137
calculate,end,0.0,0.2166132926940918
calculate,origin,0.0,0.21645012497901917
calculate,resolution,0.5444444444444444,0.2160107046365738
calculate,guide,0.43703703703703706,0.21480001509189606
calculate,string,0.0,0.2146846204996109
calculate,skill,0.5407407407407407,0.21401432156562805
calculate,focus,0.5407407407407407,0.21376538276672363
calculate,physician,0.48148148148148145,0.2136065512895584
calculate,record,0.4259259259259259,0.213049054145813
calculate,status,0.5185185185185185,0.21181026101112366
calculate,government,0.3074074074074074,0.21172107756137848
calculate,responsibility,0.45502645502645506,0.21139924228191376
calculate,weather,0.5026455026455027,0.21084065735340118
calculate,text,0.0,0.21075215935707092
calculate,water,0.43703703703703706,0.21039170026779175
calculate,association,0.5193602693602694,0.21016457676887512
calculate,place,0.5333333333333333,0.21005934476852417
calculate,duty,0.4537037037037037,0.20998047292232513
calculate,duty,0.4537037037037037,0.20998047292232513
calculate,request,0.5026455026455027,0.2095280885696411
calculate,view,0.0,0.20912249386310577
calculate,merchant,0.5694444444444444,0.20856304466724396
calculate,desire,0.4259259259259259,0.208088219165802
calculate,instruction,0.42424242424242414,0.2076376974582672
calculate,construction,0.5092592592592592,0.20737312734127045
calculate,marker,0.4259259259259259,0.2064482718706131
calculate,year,0.4537037037037037,0.2061891108751297
calculate,word,0.0,0.20614638924598694
calculate,suffer,0.4259259259259259,0.20554165542125702
calculate,symptom,0.41798941798941797,0.20542950928211212
calculate,destination,0.3013468013468013,0.20380893349647522
calculate,day,0.48148148148148145,0.20341606438159943
calculate,gender,0.0,0.20301495492458344
calculate,occupant,0.7268518518518517,0.20275089144706726
calculate,collector,0.6370370370370371,0.20267358422279358
calculate,meal,0.5740740740740741,0.20222896337509155
calculate,paper,0.43703703703703706,0.20176942646503448
calculate,majority,0.49074074074074076,0.20167605578899384
calculate,relationship,0.4166666666666667,0.20139358937740326
calculate,donor,0.0,0.20039591193199158
calculate,access,0.5,0.19986720383167267
calculate,contract,0.5648148148148148,0.19947341084480286
calculate,intelligence,0.4259259259259259,0.19897045195102692
calculate,ground,0.4259259259259259,0.19757486879825592
calculate,parent,0.5185185185185185,0.1970916986465454
calculate,image,0.43703703703703706,0.19691821932792664
calculate,success,0.4761904761904761,0.19633547961711884
calculate,practice,0.5935185185185184,0.19583354890346527
calculate,doctor,0.4259259259259259,0.19546662271022797
calculate,ocean,0.5407407407407407,0.19518494606018066
calculate,donation,0.49074074074074076,0.19483591616153717
calculate,thing,0.0,0.1935754269361496
calculate,ownership,0.0,0.19301897287368774
calculate,job,0.0,0.1928444355726242
calculate,company,0.5026455026455027,0.19120509922504425
calculate,perception,0.4333333333333333,0.19019541144371033
calculate,response,0.41203703703703703,0.19010570645332336
calculate,judgment,0.4583333333333333,0.1897851973772049
calculate,material,0.4583333333333333,0.18931826949119568
