Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
run,time,0.0,0.5216239094734192
run,half,0.0,0.511011004447937
run,race,0.5277777777777778,0.5073449015617371
run,end,0.0,0.49582675099372864
run,effort,0.0,0.48694512248039246
run,attempt,0.0,0.4810302257537842
run,build,0.5111111111111111,0.4777079224586487
run,chance,0.5,0.4745362401008606
run,thing,0.5111111111111111,0.46422603726387024
run,place,0.0,0.46342161297798157
run,day,0.0,0.46008819341659546
run,right,0.5111111111111111,0.45266193151474
run,rest,0.5277777777777778,0.4520926773548126
run,set,0.0,0.4460545480251312
run,think,0.5111111111111111,0.4416487514972687
run,point,0.5111111111111111,0.4396183490753174
run,reason,0.5,0.4390260577201843
run,play,0.0,0.43498921394348145
run,use,0.0,0.4307780861854553
run,line,0.5277777777777778,0.42764797806739807
run,course,0.5,0.4263564646244049
run,home,0.0,0.42408761382102966
run,road,0.5277777777777778,0.4217737913131714
run,help,0.0,0.4121406078338623
run,drag,0.5277777777777778,0.4097681939601898
run,whole,0.0,0.4095865786075592
run,couple,0.5,0.4075499475002289
run,mean,0.5277777777777778,0.4054289758205414
run,money,0.5111111111111111,0.4044378697872162
run,opportunity,0.47474747474747475,0.40284475684165955
run,year,0.0,0.3900226950645447
run,train,0.5111111111111111,0.3878639340400696
run,record,0.5,0.38527894020080566
run,option,0.0,0.38461947441101074
run,field,0.0,0.3840034008026123
run,change,0.5,0.38305196166038513
run,power,0.0,0.38180530071258545
run,system,0.0,0.38142600655555725
run,ground,0.8333333333333334,0.38088148832321167
run,job,0.0,0.3800414502620697
run,success,0.4920634920634921,0.37909311056137085
run,performance,0.47474747474747475,0.3784244656562805
run,environment,0.44949494949494945,0.3775254487991333
run,fact,0.0,0.377150297164917
run,manager,0.4920634920634921,0.3769860863685608
run,plan,0.5277777777777778,0.37602701783180237
run,task,0.0,0.37561050057411194
run,idea,0.0,0.3754996657371521
run,hour,0.5277777777777778,0.37420573830604553
run,instance,0.4861111111111111,0.3733115792274475
run,struggle,0.6388888888888888,0.3721669018268585
run,state,0.0,0.3717729449272156
run,feel,0.0,0.36936071515083313
run,country,0.6507936507936508,0.3682516813278198
run,public,0.5,0.36590832471847534
run,support,0.4920634920634921,0.3653416931629181
run,horse,0.0,0.36422398686408997
run,charge,0.0,0.3640917241573334
run,world,0.0,0.36315640807151794
run,town,0.5277777777777778,0.3631317615509033
run,return,0.6666666666666666,0.3623847961425781
run,part,0.0,0.36232301592826843
run,head,0.0,0.36068159341812134
run,event,0.5111111111111111,0.3592674732208252
run,cause,0.5111111111111111,0.35925188660621643
run,cause,0.5111111111111111,0.35925188660621643
run,project,0.4920634920634921,0.3583073616027832
run,major,0.0,0.3567081093788147
run,office,0.0,0.35639727115631104
run,ability,0.0,0.3551446795463562
run,attack,0.0,0.35364288091659546
run,life,0.0,0.35361814498901367
run,session,0.0,0.3520015478134155
run,script,0.5,0.3518824279308319
