CQ_String,Enslaved_String,Jaro-Winkler_Score,Cosine_Sim_Score
condition,condition,1.0,1.0
condition,cause,0.43703703703703706,0.5431157350540161
condition,cause,0.43703703703703706,0.5431157350540161
condition,cause,0.43703703703703706,0.5431157350540161
condition,cause,0.43703703703703706,0.5431157350540161
condition,disease,0.5026455026455027,0.5275309681892395
condition,situation,0.7037037037037037,0.5195340514183044
condition,result,0.4259259259259259,0.5101460814476013
condition,result,0.4259259259259259,0.5101460814476013
condition,treatment,0.48148148148148145,0.5049736499786377
condition,treatment,0.48148148148148145,0.5049736499786377
condition,suffer,0.0,0.49599453806877136
condition,symptom,0.5026455026455027,0.48993098735809326
condition,symptom,0.5026455026455027,0.48993098735809326
condition,consequence,0.6026936026936026,0.48211604356765747
condition,patient,0.4761904761904761,0.4802413284778595
condition,case,0.4537037037037037,0.4725832939147949
condition,damage,0.4259259259259259,0.4722207188606262
condition,severity,0.49074074074074076,0.46796557307243347
condition,affect,0.4259259259259259,0.46498584747314453
condition,body,0.5740740740740741,0.46485772728919983
condition,person,0.5185185185185185,0.461044043302536
condition,circumstance,0.5925925925925926,0.453990638256073
condition,treat,0.43703703703703706,0.4488758146762848
condition,pain,0.40740740740740744,0.4470495581626892
condition,reason,0.5185185185185185,0.43747273087501526
condition,reason,0.5185185185185185,0.43747273087501526
condition,risk,0.4537037037037037,0.4356217682361603
condition,lack,0.4537037037037037,0.4325092136859894
condition,issue,0.0,0.42402148246765137
condition,concern,0.671957671957672,0.42081770300865173
condition,outcome,0.5886243386243386,0.4154876470565796
condition,outcome,0.5886243386243386,0.4154876470565796
condition,status,0.4259259259259259,0.414998322725296
condition,status,0.4259259259259259,0.414998322725296
condition,difficulty,0.5314814814814816,0.41447240114212036
condition,manner,0.4259259259259259,0.4092516005039215
condition,value,0.0,0.4087792932987213
condition,value,0.0,0.4087792932987213
condition,shape,0.0,0.4051814675331116
condition,shape,0.0,0.4051814675331116
condition,quantity,0.4583333333333333,0.40182796120643616
condition,quantity,0.4583333333333333,0.40182796120643616
condition,seller,0.0,0.4016576409339905
condition,change,0.5185185185185185,0.39942482113838196
condition,state,0.43703703703703706,0.3986833393573761
condition,price,0.37407407407407406,0.39727306365966797
condition,price,0.37407407407407406,0.39727306365966797
condition,vehicle,0.41798941798941797,0.39690911769866943
condition,appearance,0.4037037037037037,0.39679691195487976
condition,basis,0.43703703703703706,0.3932340443134308
condition,individual,0.5314814814814816,0.3914749324321747
condition,injury,0.4259259259259259,0.3912050127983093
condition,effect,0.4259259259259259,0.3906862139701843
condition,fact,0.5740740740740741,0.38861343264579773
condition,buyer,0.0,0.3883052170276642
condition,owner,0.5407407407407407,0.3861784338951111
condition,owner,0.5407407407407407,0.3861784338951111
condition,type,0.0,0.3857210576534271
condition,type,0.0,0.3857210576534271
condition,life,0.4537037037037037,0.38392338156700134
condition,set,0.48148148148148145,0.3820222020149231
condition,item,0.0,0.38106921315193176
condition,item,0.0,0.38106921315193176
condition,amount,0.611111111111111,0.3810185194015503
condition,subject,0.41798941798941797,0.37865889072418213
condition,term,0.0,0.3781983256340027
condition,order,0.5407407407407407,0.3781331181526184
condition,loss,0.4537037037037037,0.3774634897708893
condition,child,0.5333333333333333,0.3740362226963043
condition,trigger,0.41798941798941797,0.3730451762676239
condition,purpose,0.41798941798941797,0.3719063699245453
condition,desire,0.5185185185185185,0.3718392848968506
condition,care,0.4537037037037037,0.3715728223323822
condition,time,0.4537037037037037,0.3707302510738373
condition,time,0.4537037037037037,0.3707302510738373
condition,unit,0.6944444444444443,0.37006875872612
condition,unit,0.6944444444444443,0.37006875872612
condition,property,0.49074074074074076,0.3691714107990265
condition,doctor,0.7296296296296297,0.36713749170303345
condition,attention,0.6370370370370371,0.3630519509315491
condition,blood,0.5407407407407407,0.3582085072994232
condition,age,0.0,0.3580953776836395
condition,minor,0.5333333333333333,0.35761046409606934
condition,instance,0.5694444444444444,0.3574691414833069
condition,eye,0.0,0.3562944829463959
condition,rest,0.4537037037037037,0.35520222783088684
condition,respect,0.41798941798941797,0.35341185331344604
condition,system,0.4259259259259259,0.35328876972198486
condition,place,0.43703703703703706,0.3524845540523529
condition,place,0.43703703703703706,0.3524845540523529
condition,description,0.757094757094757,0.3517814874649048
condition,choice,0.611111111111111,0.35118576884269714
condition,right,0.5407407407407407,0.3508751392364502
condition,level,0.0,0.3488626480102539
condition,level,0.0,0.3488626480102539
condition,feel,0.0,0.3487973213195801
condition,position,0.8055555555555555,0.3487563729286194
condition,temperature,0.4006734006734007,0.3483172357082367
condition,thing,0.37407407407407406,0.3482744097709656
condition,complete,0.5694444444444444,0.346768319606781
condition,undergo,0.5873015873015873,0.34591856598854065
condition,area,0.0,0.3457101285457611
condition,area,0.0,0.3457101285457611
condition,experience,0.4740740740740741,0.34489452838897705
condition,end,0.6296296296296297,0.34461092948913574
condition,wheel,0.0,0.34407246112823486
condition,option,0.7296296296296297,0.34367284178733826
condition,environment,0.5193602693602694,0.3424352705478668
condition,return,0.35185185185185186,0.34204337000846863
condition,victim,0.6203703703703703,0.34164923429489136
condition,victim,0.6203703703703703,0.34164923429489136
condition,emergency,0.40740740740740744,0.3414691090583801
condition,process,0.335978835978836,0.34134864807128906
condition,location,0.6944444444444443,0.3410414457321167
condition,location,0.6944444444444443,0.3410414457321167
condition,location,0.6944444444444443,0.3410414457321167
condition,factor,0.5,0.33902445435523987
condition,period,0.5,0.33785420656204224
condition,period,0.5,0.33785420656204224
condition,equipment,0.4444444444444444,0.33687064051628113
condition,product,0.5873015873015873,0.3366384506225586
condition,product,0.5873015873015873,0.3366384506225586
condition,hospital,0.5694444444444444,0.33661118149757385
condition,probability,0.5193602693602694,0.33656445145606995
condition,death,0.5407407407407407,0.33493515849113464
condition,relationship,0.5240740740740741,0.3346841335296631
condition,color,0.5407407407407407,0.3341715633869171
condition,color,0.5407407407407407,0.3341715633869171
condition,sale,0.0,0.3340246081352234
condition,perception,0.6185185185185186,0.3338274657726288
condition,responsibility,0.5767195767195767,0.3334498107433319
condition,duration,0.6601851851851852,0.33340728282928467
condition,duration,0.6601851851851852,0.33340728282928467
condition,impact,0.4259259259259259,0.33334165811538696
condition,sign,0.40740740740740744,0.3329637348651886
condition,suspect,0.41798941798941797,0.3310483694076538
condition,point,0.6648148148148149,0.3307989835739136
condition,human,0.43703703703703706,0.33056578040122986
condition,cost,0.6944444444444443,0.33035972714424133
condition,duty,0.5740740740740741,0.3298795819282532
condition,duty,0.5740740740740741,0.3298795819282532
condition,grave,0.0,0.32967543601989746
condition,response,0.49074074074074076,0.3289085626602173
condition,judgment,0.4583333333333333,0.32869434356689453
