CQ_String,Enslaved_String,Jaro-Winkler_Score,Cosine_Sim_Score
family,family,1.0,0.9999998807907104
family,father,0.5555555555555555,0.6278412938117981
family,mother,0.4444444444444444,0.6212209463119507
family,wife,0.4444444444444444,0.5874539613723755
family,sister,0.4444444444444444,0.583291232585907
family,life,0.4444444444444444,0.567951500415802
family,house,0.0,0.5606977939605713
family,home,0.47222222222222215,0.5598568916320801
family,brother,0.0,0.5557159781455994
family,grandfather,0.41919191919191917,0.5549718737602234
family,household,0.4259259259259259,0.5341152548789978
family,child,0.5777777777777778,0.5271455645561218
family,friend,0.5555555555555555,0.5266854763031006
family,spouse,0.0,0.525124192237854
family,grandparent,0.41919191919191917,0.5181955099105835
family,marriage,0.5138888888888888,0.5043124556541443
family,deceased,0.4305555555555555,0.5005565285682678
family,deceased,0.4305555555555555,0.5005565285682678
family,parent,0.4444444444444444,0.498945027589798
family,parent,0.4444444444444444,0.498945027589798
family,own,0.0,0.4945615231990814
family,community,0.611111111111111,0.48852869868278503
family,residence,0.4259259259259259,0.4874332845211029
family,relationship,0.47222222222222215,0.48184898495674133
family,funeral,0.5396825396825397,0.4799641966819763
family,grandchild,0.6,0.47138339281082153
family,death,0.45555555555555555,0.4678882658481598
family,church,0.0,0.4615325331687927
family,couple,0.4444444444444444,0.4589690566062927
family,care,0.47222222222222215,0.4584900736808777
family,friendship,0.5111111111111111,0.45119068026542664
family,birth,0.45555555555555555,0.44318321347236633
family,wedding,0.4365079365079365,0.44268232583999634
family,person,0.0,0.44109779596328735
family,dinner,0.4444444444444444,0.4391011893749237
family,town,0.0,0.4374893605709076
family,neighbor,0.4305555555555555,0.4347013533115387
family,baby,0.611111111111111,0.43014630675315857
family,country,0.4365079365079365,0.4299370348453522
family,country,0.4365079365079365,0.4299370348453522
family,groom,0.45555555555555555,0.4290854334831238
family,story,0.45555555555555555,0.4244219660758972
family,help,0.47222222222222215,0.41687339544296265
family,day,0.5,0.4165644645690918
family,widow,0.45555555555555555,0.4164881110191345
family,group,0.0,0.4163860082626343
family,experience,0.4222222222222222,0.4152325987815857
family,age,0.5,0.41444385051727295
family,choice,0.4444444444444444,0.41166070103645325
family,owner,0.0,0.4098777770996094
family,owner,0.0,0.4098777770996094
family,time,0.4444444444444444,0.4092435836791992
family,time,0.4444444444444444,0.4092435836791992
family,gift,0.4444444444444444,0.4083414673805237
family,place,0.45555555555555555,0.406863272190094
family,place,0.45555555555555555,0.406863272190094
family,opportunity,0.0,0.40636196732521057
family,whole,0.45555555555555555,0.4061249792575836
family,rest,0.0,0.40567851066589355
family,ancestor,0.4305555555555555,0.4044090807437897
family,school,0.4444444444444444,0.40348365902900696
family,school,0.4444444444444444,0.40348365902900696
family,resident,0.4305555555555555,0.40328162908554077
family,village,0.5396825396825397,0.4007170498371124
family,hospital,0.5277777777777778,0.3993542492389679
family,plan,0.47222222222222215,0.399234414100647
family,meal,0.6388888888888888,0.3988133668899536
family,to,0.0,0.3971441090106964
family,tree,0.0,0.3967684805393219
family,society,0.5396825396825397,0.39660677313804626
family,room,0.47222222222222215,0.3946269750595093
family,estate,0.4444444444444444,0.39429882168769836
family,bride,0.45555555555555555,0.39392977952957153
family,food,0.47222222222222215,0.39369210600852966
family,boy,0.0,0.38803917169570923
family,blessing,0.3611111111111111,0.3866935074329376
family,property,0.4305555555555555,0.3866218328475952
family,memorial,0.625,0.384746789932251
family,cabin,0.5777777777777778,0.3841974139213562
family,pet,0.0,0.3829036355018616
family,found,0.45555555555555555,0.3809049427509308
family,belong,0.4444444444444444,0.3804696798324585
family,world,0.45555555555555555,0.3799159824848175
family,struggle,0.4305555555555555,0.37914130091667175
family,part,0.47222222222222215,0.3788427412509918
family,cemetery,0.5277777777777778,0.3788369596004486
family,situation,0.35185185185185186,0.3779573142528534
family,interest,0.4305555555555555,0.37689197063446045
family,fact,0.611111111111111,0.37632137537002563
family,attend,0.4444444444444444,0.376263290643692
family,individual,0.4222222222222222,0.37485572695732117
family,company,0.5396825396825397,0.3726460337638855
family,idea,0.47222222222222215,0.3703766465187073
family,class,0.45555555555555555,0.36962783336639404
family,thing,0.45555555555555555,0.3689884841442108
family,honor,0.0,0.368397980928421
family,pastor,0.4444444444444444,0.3677802085876465
family,responsibility,0.4920634920634921,0.36777159571647644
family,congregation,0.0,0.36661821603775024
family,meeting,0.5396825396825397,0.36631688475608826
family,woman,0.41111111111111115,0.36545291543006897
family,victim,0.4444444444444444,0.363794207572937
family,victim,0.4444444444444444,0.363794207572937
family,dog,0.0,0.3635495901107788
family,guest,0.0,0.363400399684906
family,organization,0.5,0.36126500368118286
family,ownership,0.0,0.36040088534355164
family,concern,0.0,0.3601169288158417
family,desire,0.4444444444444444,0.3569549322128296
family,name,0.611111111111111,0.3568758964538574
family,attention,0.5185185185185185,0.35505568981170654
family,party,0.5777777777777778,0.35469260811805725
family,party,0.5777777777777778,0.35469260811805725
family,restaurant,0.4222222222222222,0.3545941114425659
family,feel,0.611111111111111,0.3538426458835602
family,island,0.38888888888888884,0.3538026809692383
family,camp,0.611111111111111,0.35290512442588806
family,escape,0.4444444444444444,0.35254669189453125
family,witness,0.4365079365079365,0.35106465220451355
family,treat,0.45555555555555555,0.35094311833381653
family,support,0.0,0.34986594319343567
family,support,0.0,0.34986594319343567
family,public,0.38888888888888884,0.34875696897506714
family,reason,0.4444444444444444,0.34549763798713684
family,reason,0.4444444444444444,0.34549763798713684
family,office,0.5555555555555555,0.3451632261276245
family,area,0.47222222222222215,0.34510430693626404
family,area,0.47222222222222215,0.34510430693626404
family,respect,0.0,0.3443762958049774
family,girl,0.611111111111111,0.34391751885414124
family,environment,0.41919191919191917,0.34363898634910583
family,service,0.4365079365079365,0.34220877289772034
family,promise,0.5396825396825397,0.34220513701438904
family,memory,0.5555555555555555,0.3414819836616516
family,chance,0.4444444444444444,0.34012699127197266
family,provide,0.4365079365079365,0.3398648202419281
family,infant,0.5555555555555555,0.33950677514076233
family,travel,0.5555555555555555,0.3392469882965088
family,host,0.0,0.33923837542533875
family,assistance,0.5111111111111111,0.33877378702163696
family,man,0.5,0.3385520875453949
family,descendant,0.0,0.3375774025917053
family,role,0.47222222222222215,0.3370455503463745
family,role,0.47222222222222215,0.3370455503463745
family,native,0.5555555555555555,0.33696749806404114
family,year,0.47222222222222215,0.33647555112838745
family,year,0.47222222222222215,0.33647555112838745
family,end,0.0,0.33588075637817383
family,money,0.5777777777777778,0.3343774676322937
family,association,0.5050505050505051,0.33369287848472595
family,nation,0.5555555555555555,0.33313581347465515
family,employee,0.625,0.3329803943634033
family,grave,0.45555555555555555,0.3323369324207306
family,population,0.48888888888888893,0.3316729664802551
family,population,0.48888888888888893,0.3316729664802551
family,teacher,0.4365079365079365,0.331558495759964
family,member,0.4444444444444444,0.3305162489414215
family,member,0.4444444444444444,0.3305162489414215
family,character,0.4259259259259259,0.3294690251350403
family,freedom,0.4365079365079365,0.32896843552589417
family,human,0.41111111111111115,0.32895663380622864
family,photographer,0.0,0.3288627862930298
family,tale,0.611111111111111,0.3270207345485687
family,activity,0.625,0.3269726037979126
family,worker,0.0,0.32676729559898376
family,conversation,0.0,0.32652485370635986
family,majority,0.6388888888888888,0.3261840343475342
family,serve,0.0,0.32572293281555176
family,city,0.611111111111111,0.3256019055843353
family,city,0.611111111111111,0.3256019055843353
family,factor,0.5555555555555555,0.3255045711994171
family,bear,0.47222222222222215,0.32483044266700745
family,information,0.47979797979797983,0.3245776891708374
family,court,0.0,0.3245370090007782
family,like,0.47222222222222215,0.3229098320007324
family,job,0.0,0.32212382555007935
family,book,0.0,0.3213433027267456
family,behalf,0.5555555555555555,0.3212718665599823
family,county,0.4444444444444444,0.31997132301330566
family,state,0.45555555555555555,0.31982848048210144
family,anniversary,0.5050505050505051,0.31943660974502563
family,animal,0.6944444444444443,0.3192532956600189
family,think,0.45555555555555555,0.3188324272632599
family,greeting,0.4305555555555555,0.31828343868255615
family,ceremony,0.5277777777777778,0.31805163621902466
family,plantation,0.48888888888888893,0.3175302743911743
family,attorney,0.5277777777777778,0.3170704245567322
family,half,0.611111111111111,0.31676337122917175
family,lawyer,0.5555555555555555,0.31674084067344666
family,lawyer,0.5555555555555555,0.31674084067344666
family,manage,0.38888888888888884,0.31671836972236633
family,location,0.5277777777777778,0.3164774179458618
family,location,0.5277777777777778,0.3164774179458618
family,location,0.5277777777777778,0.3164774179458618
family,student,0.0,0.3164423704147339
family,type,0.0,0.31614363193511963
family,type,0.0,0.31614363193511963
family,fear,0.611111111111111,0.3158428370952606
family,doctor,0.0,0.31528717279434204
family,right,0.45555555555555555,0.3151450753211975
family,occasion,0.5277777777777778,0.3151378035545349
family,focus,0.45555555555555555,0.31484463810920715
family,focus,0.45555555555555555,0.31484463810920715
family,knowledge,0.4259259259259259,0.31410571932792664
family,knowledge,0.4259259259259259,0.31410571932792664
family,patient,0.5396825396825397,0.312910795211792
family,speak,0.45555555555555555,0.31285446882247925
family,photo,0.0,0.3122234046459198
family,religion,0.3611111111111111,0.3118133842945099
family,decision,0.4305555555555555,0.31174594163894653
family,build,0.5777777777777778,0.30997559428215027
family,event,0.0,0.30997273325920105
family,case,0.47222222222222215,0.3092677593231201
family,from,0.611111111111111,0.30923929810523987
family,homeland,0.5277777777777778,0.30828794836997986
family,teach,0.45555555555555555,0.30811557173728943
family,cause,0.45555555555555555,0.30740249156951904
family,cause,0.45555555555555555,0.30740249156951904
family,cause,0.45555555555555555,0.30740249156951904
family,cause,0.45555555555555555,0.30740249156951904
family,birthplace,0.5111111111111111,0.3073909282684326
family,shop,0.0,0.3072514235973358
family,government,0.4222222222222222,0.3064700663089752
family,crime,0.41111111111111115,0.3060797154903412
family,crime,0.41111111111111115,0.3060797154903412
family,prayer,0.5555555555555555,0.30590277910232544
family,organize,0.5277777777777778,0.30521321296691895
family,castle,0.5555555555555555,0.3050699830055237
family,lack,0.47222222222222215,0.30414557456970215
family,disease,0.4365079365079365,0.3040390908718109
family,adulthood,0.5185185185185185,0.30366769433021545
family,soldier,0.373015873015873,0.3030269742012024
family,president,0.4259259259259259,0.3030092716217041
family,step,0.0,0.3026838004589081
family,scene,0.0,0.3022017478942871
family,donation,0.5277777777777778,0.3015367090702057
family,course,0.0,0.3011796772480011
family,course,0.0,0.3011796772480011
family,justice,0.4365079365079365,0.30115392804145813
family,purpose,0.0,0.30084508657455444
family,employment,0.6,0.3006058931350708
family,carry,0.5777777777777778,0.30035218596458435
family,obituary,0.5277777777777778,0.3000893294811249
family,belief,0.38888888888888884,0.2998783588409424
family,influence,0.5,0.2998153865337372
family,return,0.0,0.2988189160823822
family,news,0.0,0.2985142469406128
family,independence,0.4166666666666667,0.2984016537666321
family,prison,0.4444444444444444,0.29817894101142883
family,fate,0.611111111111111,0.29752376675605774
family,horse,0.0,0.29702526330947876
family,order,0.0,0.2955729365348816
family,destination,0.41919191919191917,0.2952546179294586
family,destination,0.41919191919191917,0.2952546179294586
family,hear,0.47222222222222215,0.29422006011009216
family,arrival,0.6428571428571429,0.2940159738063812
family,contribution,0.4166666666666667,0.2928626537322998
family,employer,0.625,0.29228439927101135
family,employer,0.625,0.29228439927101135
family,suspect,0.0,0.29196324944496155
family,diary,0.5888888888888889,0.2915525436401367
family,loss,0.0,0.29132649302482605
family,success,0.0,0.2910148501396179
family,success,0.0,0.2910148501396179
family,plant,0.45555555555555555,0.2908570468425751
family,donor,0.0,0.2899620234966278
family,donor,0.0,0.2899620234966278
family,violence,0.5277777777777778,0.2897922098636627
family,affect,0.38888888888888884,0.28948089480400085
family,address,0.4365079365079365,0.28860294818878174
family,address,0.4365079365079365,0.28860294818878174
family,set,0.0,0.2885392904281616
family,kingdom,0.4365079365079365,0.2885132431983948
family,represent,0.0,0.28801363706588745
family,major,0.41111111111111115,0.2877846360206604
family,background,0.4222222222222222,0.28764447569847107
family,crew,0.0,0.2867037057876587
family,race,0.47222222222222215,0.2860184907913208
family,number,0.4444444444444444,0.2858297526836395
family,research,0.4305555555555555,0.28526005148887634
family,blood,0.0,0.2846889793872833
family,chef,0.0,0.28464725613594055
family,involve,0.4365079365079365,0.2845538854598999
family,pension,0.4365079365079365,0.28451064229011536
family,market,0.38888888888888884,0.28398680686950684
family,date,0.47222222222222215,0.283857524394989
family,furniture,0.5185185185185185,0.2837376892566681
family,classroom,0.35185185185185186,0.2836235761642456
family,missionary,0.6,0.2835170030593872
family,origin,0.4444444444444444,0.2827962040901184
family,origin,0.4444444444444444,0.2827962040901184
family,suffer,0.4444444444444444,0.2826743721961975
family,courthouse,0.0,0.28235623240470886
family,status,0.4444444444444444,0.28152549266815186
family,status,0.4444444444444444,0.28152549266815186
family,treatment,0.5185185185185185,0.2807772755622864
family,treatment,0.5185185185185185,0.2807772755622864
family,basis,0.5777777777777778,0.28068095445632935
family,audience,0.5277777777777778,0.2806708812713623
family,occupation,0.5111111111111111,0.279933363199234
family,mission,0.5396825396825397,0.2797792851924896
family,mission,0.5396825396825397,0.2797792851924896
family,complete,0.5277777777777778,0.279317706823349
family,transportation,0.41269841269841273,0.2787545323371887
family,list,0.47222222222222215,0.27870094776153564
family,cost,0.0,0.27869510650634766
family,street,0.0,0.27838653326034546
family,charge,0.4444444444444444,0.2779846489429474
family,fund,0.47222222222222215,0.2777968645095825
family,head,0.47222222222222215,0.27738308906555176
family,sport,0.0,0.27734875679016113
family,effort,0.4444444444444444,0.27637913823127747
family,physician,0.35185185185185186,0.2763770818710327
family,exchange,0.4305555555555555,0.2763725221157074
family,store,0.0,0.27592548727989197
family,mean,0.4444444444444444,0.2752971649169922
family,flower,0.4444444444444444,0.27528584003448486
family,receive,0.4365079365079365,0.2752503752708435
family,tourist,0.4365079365079365,0.27519363164901733
family,institution,0.41919191919191917,0.27513301372528076
family,term,0.47222222222222215,0.274772047996521
family,collection,0.3444444444444444,0.2747320234775543
family,manner,0.38888888888888884,0.2743956744670868
family,ability,0.746031746031746,0.2742050588130951
family,donate,0.4444444444444444,0.27317914366722107
