Arm	[2, ['Body', 'Hand']]
Body	[3, ['Body', 'Eye', 'Hand']]
BodyPart	[3, ['Body', 'Eye', 'Head']]
Head	[2, ['Body', 'Head']]
Human	[17, ['Back', 'Body', 'Child', 'Eye', 'Face', 'Father', 'Girl', 'Guy', 'Hand', 'Head', 'Man', 'Mother', 'Others', 'Parent', 'Power', 'Right', 'Woman']]
HumanBody	[4, ['Back', 'Body', 'Eye', 'Hand']]
Resource	[46, ['Back', 'Body', 'Case', 'Change', 'City', 'Community', 'End', 'Fact', 'Father', 'Force', 'Friend', 'Government', 'Group', 'History', 'Home', 'House', 'Idea', 'Information', 'Job', 'Kid', 'Law', 'Level', 'Lot', 'Loveseat', 'Man', 'Member', 'Moment', 'Morning', 'Night', 'Part', 'Party', 'Power', 'President', 'Question', 'Reason', 'Result', 'Right', 'Side', 'Study', 'System', 'Team', 'War', 'Water', 'Way', 'Week', 'Year']]
Datetime	[27, ['Art', 'Business', 'Case', 'Change', 'Company', 'Day', 'End', 'Fact', 'Friend', 'History', 'Idea', 'Information', 'Issue', 'Job', 'Law', 'Moment', 'Night', 'Part', 'Party', 'President', 'Research', 'Result', 'Service', 'Time', 'War', 'Woman', 'Work']]
Entity	[25, ['Case', 'Change', 'Education', 'End', 'Force', 'Hour', 'Information', 'Issue', 'Kind', 'Level', 'Life', 'Lot', 'Money', 'Name', 'Others', 'Power', 'Question', 'Reason', 'Right', 'Service', 'Side', 'State', 'War', 'Way', 'Year']]
Integer	[75, ['Art', 'Back', 'Book', 'Business', 'Car', 'Chair', 'Child', 'City', 'Community', 'Company', 'Couch', 'Country', 'Day', 'Education', 'Face', 'Family', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Guy', 'Hand', 'Head', 'Health', 'Home', 'Hour', 'House', 'Idea', 'Issue', 'Job', 'Kid', 'Law', 'Level', 'Life', 'Line', 'Lot', 'Loveseat', 'Man', 'Member', 'Minute', 'Month', 'Mother', 'Number', 'Office', 'Others', 'Parent', 'Part', 'Party', 'People', 'Person', 'Place', 'Power', 'President', 'Problem', 'Program', 'Result', 'Room', 'School', 'Sofa', 'State', 'Story', 'Student', 'Study', 'Teacher', 'Team', 'Time', 'War', 'Way', 'Week', 'Woman', 'Word', 'Work', 'World', 'Year']]
Langstring	[8, ['Game', 'Issue', 'Kid', 'Problem', 'Room', 'Thing', 'War', 'Way']]
Person	[55, ['Art', 'Book', 'Business', 'Case', 'Child', 'City', 'Community', 'Company', 'Education', 'Family', 'Father', 'Friend', 'Game', 'Girl', 'Government', 'Group', 'Head', 'Health', 'History', 'Home', 'House', 'Idea', 'Information', 'Issue', 'Job', 'Kid', 'Level', 'Lot', 'Moment', 'Money', 'Morning', 'Mother', 'Name', 'Office', 'Others', 'Parent', 'Party', 'People', 'Person', 'President', 'Program', 'Question', 'Reason', 'Research', 'Right', 'Room', 'Story', 'Student', 'Study', 'Team', 'War', 'Way', 'Woman', 'Work', 'World']]
Something	[3, ['Back', 'Issue', 'Year']]
Status	[2, ['Case', 'Issue']]
Subject	[12, ['Case', 'Education', 'Fact', 'Idea', 'Information', 'Issue', 'Research', 'School', 'Student', 'Study', 'Teacher', 'Way']]
Thing	[22, ['Change', 'End', 'Fact', 'Force', 'Group', 'History', 'Issue', 'Kind', 'Level', 'Moment', 'Night', 'Part', 'Power', 'Problem', 'Reason', 'Research', 'Side', 'Thing', 'Time', 'War', 'Woman', 'World']]
User	[3, ['Issue', 'Level', 'Question']]
AcademicInstitution	[2, ['Education', 'Research']]
Author	[6, ['Book', 'Idea', 'Information', 'Program', 'Research', 'Story']]
Field	[2, ['Job', 'Research']]
Institution	[6, ['Community', 'Education', 'Research', 'Right', 'Study', 'Teacher']]
Organization	[9, ['Book', 'Child', 'Guy', 'Job', 'Member', 'Program', 'Research', 'Work', 'World']]
Product	[3, ['Business', 'Company', 'Research']]
Publication	[2, ['Research', 'Study']]
Researcher	[2, ['Research', 'Study']]
Topic	[4, ['Information', 'Question', 'Research', 'Study']]
Class	[11, ['Eye', 'Face', 'Head', 'History', 'Information', 'Man', 'Money', 'School', 'Side', 'Way', 'Week']]
Object	[6, ['Force', 'Hand', 'Others', 'Part', 'Power', 'Side']]
String	[2, ['Right', 'Side']]
Animal	[2, ['Life', 'Others']]
Car	[4, ['Car', 'Others', 'Part', 'World']]
City	[9, ['City', 'Country', 'Government', 'Home', 'Others', 'People', 'Place', 'State', 'World']]
Color	[6, ['Couch', 'Door', 'Eye', 'Loveseat', 'Others', 'Sofa']]
Course	[7, ['Education', 'Others', 'Result', 'School', 'Student', 'Study', 'Teacher']]
Gender	[9, ['Family', 'Girl', 'Guy', 'Man', 'Others', 'Parent', 'People', 'Person', 'Woman']]
Group	[3, ['Group', 'Member', 'Others']]
Location	[18, ['Business', 'Community', 'Company', 'Guy', 'History', 'Home', 'Job', 'Moment', 'Others', 'Party', 'Person', 'Place', 'Story', 'Study', 'Team', 'War', 'Way', 'Work']]
Machine	[2, ['Others', 'Power']]
Manufacturer	[6, ['Car', 'Couch', 'Loveseat', 'Others', 'Part', 'Sofa']]
Occupation	[5, ['Man', 'Others', 'People', 'Woman', 'Work']]
Provider	[3, ['Others', 'Program', 'Service']]
Service	[7, ['Business', 'Others', 'Part', 'People', 'Program', 'Service', 'System']]
Species	[2, ['Life', 'Others']]
Student	[9, ['Education', 'Information', 'Kind', 'Others', 'Result', 'School', 'Student', 'Study', 'Teacher']]
University	[4, ['Education', 'Others', 'Student', 'Study']]
Date	[2, ['Month', 'Year']]
Day	[6, ['Day', 'Hour', 'Morning', 'Night', 'Week', 'Year']]
Document	[2, ['Information', 'Year']]
Event	[13, ['Community', 'Day', 'End', 'History', 'Idea', 'Minute', 'Moment', 'Reason', 'Result', 'Thing', 'Time', 'War', 'Year']]
Month	[2, ['Month', 'Year']]
Year	[4, ['Game', 'Month', 'Week', 'Year']]
Life	[2, ['Life', 'Water']]
Organism	[3, ['Eye', 'Life', 'Water']]
Dimension	[3, ['Couch', 'Door', 'Loveseat']]
Dimensions	[2, ['Couch', 'Loveseat']]
Material	[6, ['Art', 'Couch', 'Door', 'Loveseat', 'Part', 'Sofa']]
Nonnegativeinteger	[11, ['City', 'Couch', 'Country', 'Girl', 'Hand', 'Man', 'Office', 'Parent', 'Person', 'Sofa', 'Woman']]
Size	[5, ['Couch', 'Eye', 'Loveseat', 'Room', 'Sofa']]
Style	[4, ['Art', 'Couch', 'Loveseat', 'Sofa']]
Type	[3, ['Couch', 'Place', 'Water']]
Upholstery	[2, ['Couch', 'Loveseat']]
Building	[4, ['Home', 'Lot', 'Office', 'Room']]
Door	[3, ['Door', 'Home', 'Room']]
Floor	[2, ['Home', 'Room']]
Furniture	[5, ['Home', 'Loveseat', 'Office', 'Room', 'Sofa']]
Room	[6, ['Door', 'Home', 'House', 'Office', 'Room', 'Sofa']]
Window	[2, ['Home', 'Room']]
Activity	[5, ['Community', 'Day', 'Morning', 'Result', 'Water']]
Night	[2, ['Morning', 'Night']]
Sunrise	[2, ['Morning', 'Night']]
Time	[11, ['Day', 'End', 'Hour', 'Minute', 'Moment', 'Morning', 'Night', 'Party', 'Problem', 'Time', 'Work']]
DateTime	[4, ['Change', 'Party', 'Time', 'War']]
Party	[2, ['Case', 'Party']]
Theme	[2, ['Party', 'Story']]
Child	[4, ['Child', 'Family', 'Mother', 'Parent']]
Man	[4, ['Family', 'Man', 'Parent', 'Woman']]
Parent	[5, ['Child', 'Family', 'Girl', 'Kid', 'Parent']]
Woman	[5, ['Family', 'Father', 'Man', 'Parent', 'Woman']]
Duration	[12, ['Day', 'Friend', 'Hour', 'Minute', 'Moment', 'Night', 'President', 'Program', 'Service', 'Study', 'Time', 'Work']]
Hour	[4, ['Day', 'Hour', 'Minute', 'Week']]
Instant	[3, ['Hour', 'Moment', 'Time']]
Minute	[3, ['Day', 'Hour', 'Minute']]
PartOfDay	[2, ['Day', 'Hour']]
Second	[3, ['Day', 'Hour', 'Minute']]
TemporalUnit	[3, ['Hour', 'Minute', 'Time']]
TimePeriod	[5, ['History', 'Hour', 'Minute', 'Time', 'War']]
Country	[13, ['City', 'Country', 'Government', 'History', 'Man', 'Money', 'People', 'Place', 'Power', 'President', 'State', 'War', 'World']]
State	[5, ['Change', 'City', 'Government', 'State', 'Water']]
Method	[2, ['Study', 'Way']]
Positiveinteger	[5, ['Child', 'Government', 'Group', 'Study', 'World']]
Professor	[3, ['Information', 'Student', 'Study']]
Result	[3, ['Result', 'Study', 'War']]
Teacher	[5, ['Education', 'Kind', 'School', 'Study', 'Teacher']]
Customer	[2, ['Business', 'Service']]
Price	[2, ['House', 'Service']]
Continent	[3, ['Country', 'President', 'World']]
Currency	[2, ['Country', 'Money']]
Language	[4, ['Country', 'Program', 'Word', 'World']]
