Cause	[5, ['cause', 'issue', 'rebel', 'rebellion', 'suffering']]
Comment	[2, ['comment', 'issue']]
Entity	[13, ['association', 'background', 'branch', 'charge', 'condition', 'debt', 'exchange', 'honor', 'influence', 'issue', 'lack', 'medium', 'supporter']]
Integer	[100, ['ability', 'actor', 'adulthood', 'attack', 'attorney', 'audience', 'bibliography', 'book', 'boy', 'building', 'cabin', 'camp', 'captain', 'carriage', 'census', 'chef', 'coast', 'company', 'country', 'county', 'crowd', 'damage', 'decade', 'desire', 'enslavement', 'fugitive', 'genius', 'girl', 'gospel', 'governor', 'guest', 'half', 'hero', 'home', 'hour', 'household', 'image', 'individual', 'island', 'issue', 'jury', 'laborer', 'land', 'level', 'list', 'majority', 'man', 'meal', 'monument', 'movement', 'nation', 'novel', 'obituary', 'officer', 'overseer', 'paper', 'party', 'passenger', 'pension', 'people', 'person', 'photo', 'piece', 'plan', 'poem', 'population', 'portion', 'prisoner', 'publication', 'purchase', 'reader', 'rebellion', 'regiment', 'region', 'resident', 'review', 'road', 'scholar', 'seamstress', 'servant', 'settlement', 'speaker', 'star', 'state', 'support', 'supporter', 'tale', 'tavern', 'teacher', 'town', 'trade', 'transportation', 'troop', 'vessel', 'veteran', 'village', 'woman', 'word', 'work', 'worker']]
Issue	[2, ['activism', 'issue']]
Field	[2, ['research', 'skill']]
Project	[4, ['carpenter', 'project', 'research', 'researcher']]
Publication	[7, ['author', 'editor', 'historian', 'press', 'publication', 'publisher', 'research']]
Researcher	[3, ['research', 'researcher', 'study']]
Datetime	[44, ['account', 'arrest', 'arrival', 'assault', 'attempt', 'baby', 'bond', 'ceremony', 'change', 'church', 'circumstance', 'class', 'comment', 'damage', 'death', 'end', 'escape', 'exchange', 'governor', 'history', 'infant', 'instance', 'kidnapping', 'level', 'life', 'loss', 'mail', 'marriage', 'meeting', 'opportunity', 'origin', 'party', 'period', 'photo', 'process', 'project', 'purchase', 'recollection', 'release', 'request', 'service', 'success', 'task', 'time']]
Duration	[10, ['activity', 'circumstance', 'condition', 'effect', 'kidnapping', 'period', 'possession', 'suffering', 'tour', 'travel']]
Location	[29, ['activism', 'arrest', 'artist', 'baptism', 'branch', 'church', 'estate', 'expedition', 'guard', 'guest', 'kidnapping', 'location', 'meeting', 'memorial', 'monument', 'party', 'plaque', 'play', 'resident', 'river', 'scene', 'seamstress', 'situation', 'speech', 'statue', 'tavern', 'tour', 'village', 'violence']]
Person	[111, ['abolitionism', 'abolitionist', 'account', 'activist', 'ancestor', 'ancestry', 'arrival', 'author', 'authority', 'baptism', 'biographer', 'biography', 'birth', 'blessing', 'brother', 'building', 'carpenter', 'cemetery', 'change', 'church', 'citation', 'company', 'counsel', 'couple', 'crew', 'death', 'descent', 'diary', 'discrimination', 'document', 'donation', 'duty', 'earning', 'enemy', 'entry', 'example', 'expedition', 'feeling', 'film', 'friendship', 'gift', 'girl', 'governor', 'grandfather', 'group', 'help', 'history', 'home', 'household', 'idea', 'independence', 'infant', 'instance', 'intelligence', 'interest', 'kidnapping', 'kindness', 'knowledge', 'level', 'literacy', 'love', 'mail', 'meeting', 'member', 'memoir', 'mother', 'native', 'neighbor', 'obituary', 'occasion', 'opportunity', 'organization', 'origin', 'overseer', 'party', 'people', 'person', 'petition', 'prayer', 'preacher', 'project', 'promise', 'property', 'publisher', 'race', 'recollection', 'regiment', 'relation', 'relationship', 'relative', 'residence', 'respect', 'response', 'role', 'school', 'servant', 'sister', 'situation', 'society', 'speech', 'state', 'status', 'style', 'surname', 'tavern', 'trial', 'uncle', 'violence', 'vote', 'widow', 'wife']]
Rebel	[2, ['rebel', 'rebellion']]
Weapon	[3, ['militia', 'rebel', 'soldier']]
Authority	[2, ['authority', 'punishment']]
Class	[8, ['cave', 'class', 'cotton', 'ground', 'loss', 'punishment', 'resource', 'trader']]
Event	[11, ['cause', 'chance', 'change', 'decade', 'end', 'event', 'guest', 'period', 'scene', 'witness', 'year']]
Resource	[47, ['abolition', 'activist', 'anniversary', 'arrival', 'arter', 'behalf', 'circumstance', 'contract', 'controversy', 'damage', 'editor', 'effect', 'enslavement', 'escape', 'foot', 'governor', 'half', 'head', 'image', 'knowledge', 'list', 'loss', 'marriage', 'material', 'mean', 'merchant', 'mission', 'pair', 'party', 'permission', 'piece', 'politician', 'portion', 'possession', 'public', 'reputation', 'resource', 'result', 'return', 'spring', 'statement', 'testimony', 'thought', 'use', 'view', 'water', 'year']]
Human	[4, ['life', 'manumission', 'right', 'woman']]
