hasArm	Body.ttl	1
hasBodyPart	Body.ttl	1
hasHead	Body.ttl	1
hasLeg	Body.ttl	1
hasLimbs	Body.ttl	1
hasOrgan	Body.ttl	1
hasPart	Body.ttl	1
hasTorso	Body.ttl	1
isPartOf	Body.ttl	1
assignedTo	Issue.ttl	1
assignee	Issue.ttl	1
closedDate	Issue.ttl	1
createdDate	Issue.ttl	1
description	Issue.ttl	1
dueDate	Issue.ttl	1
hasCreatedDate	Issue.ttl	1
hasDateCreated	Issue.ttl	1
hasDateResolved	Issue.ttl	1
hasDeadline	Issue.ttl	1
hasDescription	Issue.ttl	1
hasID	Issue.ttl	1
hasId	Issue.ttl	1
hasIssue	Issue.ttl	1
hasIssueDateCreated	Issue.ttl	1
hasIssueDescription	Issue.ttl	1
hasIssueIdentifier	Issue.ttl	1
hasIssueStatus	Issue.ttl	1
hasIssueTitle	Issue.ttl	1
hasName	Issue.ttl	1
hasPriority	Issue.ttl	1
hasResolutionStatus	Issue.ttl	1
hasResponsible	Issue.ttl	1
hasSeverity	Issue.ttl	1
hasStatus	Issue.ttl	1
hasTitle	Issue.ttl	1
id	Issue.ttl	1
isAssignedTo	Issue.ttl	1
isIssueOf	Issue.ttl	1
isOpen	Issue.ttl	1
isRelatedTo	Issue.ttl	1
issueDate	Issue.ttl	1
issueDescription	Issue.ttl	1
issueID	Issue.ttl	1
issuePriority	Issue.ttl	1
issueResolved	Issue.ttl	1
issueSeverity	Issue.ttl	1
issueStatus	Issue.ttl	1
issueTitle	Issue.ttl	1
issueType	Issue.ttl	1
personEmail	Issue.ttl	1
personName	Issue.ttl	1
priority	Issue.ttl	1
reporter	Issue.ttl	1
resolvedDate	Issue.ttl	1
resolvesIssue	Issue.ttl	1
responsibleParty	Issue.ttl	1
status	Issue.ttl	1
title	Issue.ttl	1
abstract	Research.ttl	1
affiliatedInstitution	Research.ttl	1
affiliation	Research.ttl	1
authorOf	Research.ttl	1
belongsTo	Research.ttl	1
conducts	Research.ttl	1
conductsResearch	Research.ttl	1
contributesTo	Research.ttl	1
description	Research.ttl	1
dueDate	Research.ttl	1
employs	Research.ttl	1
endDate	Research.ttl	1
focusesOn	Research.ttl	1
funding	Research.ttl	1
hasAffiliation	Research.ttl	1
