hasPart	6
isPartOf	7
content	7
hasAssignee	2
hasDescription	7
hasAuthor	22
hasDateTime	2
hasDuration	8
hasLocation	26
hasVictim	3
hasCause	10
hasPurpose	3
severity	2
hasYear	3
cause	3
duration	6
type	5
hasBirthDate	4
hasColor	11
hasName	66
hasDenomination	2
hasEndTime	6
hasStartTime	5
totalPopulation	2
hasFurniture	3
associatedWith	4
age	15
gender	4
hasAddress	6
hasGender	6
name	65
hasPopulation	10
hasSpecialization	3
worksAt	8
hasTitle	22
origin	2
atLocation	2
attends	3
hasAge	13
hasAttendee	2
hasDate	20
hasEndDate	7
hasGuest	2
hasOrganizer	2
hasStartDate	7
organizes	2
hasMaterial	8
usesTool	3
hasCity	5
hasCountry	5
hasState	2
hasStreet	2
area	3
country	3
hasArea	8
population	6
hasFirstName	6
hasLastName	6
teachesSubject	2
worksIn	7
residesIn	2
rating	2
hasResponse	2
conductedBy	3
hasSubject	12
hasExperience	6
hasSkill	4
specializesIn	3
description	8
hasProvider	2
providerName	2
givenBy	2
hasParent	5
grantedBy	2
holdsPosition	2
hasLength	3
hasCapital	3
isUsedIn	3
born	2
hasAncestor	2
hasChild	4
hasDateOfBirth	3
hasFather	4
hasMother	4
hasSibling	3
hasOwner	7
color	6
material	2
dish	2
experience	2
location	22
specialty	3
hasMember	12
causes	3
occursAt	2
hasCase	2
hasJudge	3
judge	2
worksFor	2
hasDuty	3
conversionFactor	2
rank	3
hasFactor	2
hasImpact	3
involvedPerson	2
year	2
hasMedium	3
hasSource	4
hasSlave	2
date	17
endTime	4
hasConclusion	2
hasEnd	2
hasTime	3
hasComponent	2
item	2
hasPosition	2
trades	2
hasIngredient	2
hasEvent	3
hasTemperature	3
amount	7
dueDate	3
hasPrice	7
hasRole	7
hasVolume	2
xCoordinate	2
yCoordinate	2
zCoordinate	2
hasOrigin	3
belongsTo	6
hasValue	7
assignedTo	2
hasDeadline	3
isAssignedTo	2
locatedIn	3
worksOn	3
participant	2
sibling	2
member	2
hasCategory	2
hasProduct	3
price	2
sells	2
address	4
hasBathrooms	2
hasBedrooms	2
hasRoom	2
hasType	10
owns	2
isMarried	2
livesIn	2
email	5
hasUser	2
hasQuantity	3
hasCommander	2
firstName	3
lastName	4
hasSkillLevel	2
isRelatedTo	2
relatedTo	2
author	12
isbn	2
publisher	2
title	16
hasCurrency	2
size	7
hasInput	2
hasOutput	2
hasJobTitle	2
hasContent	8
hasStudent	3
hasTeacher	2
startTime	3
hasParticipant	4
teaches	4
inCountry	2
hasItem	4
publicationYear	2
hasNationality	3
defends	2
represents	3
hasCustomer	2
itemPrice	2
hasIntensity	3
genre	4
hasPublicationDate	4
publishedYear	2
hasLevel	3
madeOf	2
originCountry	2
participatesIn	4
height	3
width	3
hasCreationDate	4
publishedBy	2
hasRecipient	4
endDate	6
startDate	6
hasWeight	2
hasOutcome	2
currency	3
isPublished	2
hasModel	2
hasTruthValue	3
connectsTo	2
hasSize	7
hasSpeed	2
itemName	3
hasDepartment	3
hasSeverity	5
isAbout	2
hasSymptom	2
hasTreatment	2
performs	2
hasSpouse	3
hasRank	3
hasCapacity	2
hasManager	2
hasBuyer	2
isTypeOf	2
hasActor	3
length	5
hasUnit	2
ownedBy	2
hasBiography	2
hasID	3
hasWeapon	2
actsIn	2
hasAbility	2
hasDestination	3
hasStyle	4
hasEmail	2
hasSender	2
hasGrade	2
hasGenre	6
hasWritten	2
isWrittenBy	2
hasBelief	2
createdBy	2
publishedIn	2
source	2
isLocatedIn	2
hasCharacter	2
hasCharacters	2
hasPlot	2
hasObject	2
appointedBy	2
partOf	3
hasOriginator	2
hasCreator	2
hasHeight	3
hasResolution	2
owner	2
hasShape	4
hasTopic	2
recipient	2
hasCauseOfDeath	2
hasPlaceOfDeath	2
hasLawyer	2
causedBy	2
birthDate	2
established	2
hasDirector	2
hasGenreName	2
hasTerm	2
contains	2
publishes	2
hasEntry	2
hasStatus	2
capital	2
affects	2
