Person	[3, ['event', 'interest', 'name']]
Institution	[2, ['institution', 'researcher']]
Mountain	[2, ['land', 'place']]
Time	[2, ['event', 'time']]
Location	[2, ['event', 'institution']]
LegalCase	[2, ['case', 'judge']]
WeatherCondition	[2, ['condition', 'region']]
Country	[2, ['place', 'region']]
City	[2, ['place', 'region']]
